barbosa,gloss,pos
baːh,meio das costas,adv?
baɾajaːʔ,abacate,n
biːʃ,pipira,n
boj,pênis,n
dapaːʔ,paca,n
do̰ːb,japó,n
duːʃ,papagaio.sp,n
gawajad,veado,n
haːk,surucucu,n
haɾũm,tipiti,n
hɨ̃ːj,formiga.sp,n
hoːh,fígado,n
huːd,areia,n
hũːt,"tabaco, fumo",n
jahamaːd,mutum,n
jamaʃiːʃ,macaquinho,n
jamɔg,catitu,n
jaɾaːk,onça pintada,n
jatad,aracu,n
jigamʌ̃ːʔ,pomo de adão,n
joːm,"plantação, planta",n
jɔ(ː)n,tamanduá,n
ɟa̰ːʔ,arraia,n
ɟawaːj,mucura,n
ɟawɨb,"peixe-rebeca, bodó",n
ɟiːp/ɟḭːp,beija-flor.sp,n
ɟɨ̃m gapɛd,palma do pé,n
ɟʌŋ,barro,n
kã̰ːd,terra,n
kamaɾab,lua,n
kanũːd,socó,n
kaɾak,capinar,v
kaɾaʃɨd,aracoã,n
kat,tia,n
kawãːn,aracu,n
kawɛd,arara vermelha,n
keɾo̰ːʔ,arara amarela,n
kɨːj,mosquito,n
mabəŋ,cotiara,n
madiːk,açaí,n
maɾahuːd,solteiro,n
maɾaka(ː)w,cabeçudo,n
maʃɨːh,sarapó,n
matug,jabuti,n
mɨ̰j,perema,n
muːɲ,rolinha,n
nabuːj,orelha,n
naga̰ːd,língua,n
napiɟ,peneira,n
naʔəŋ,água,n
õm,2SG,pro
papɨ̃ːj,sol,n
patuk,marido,n
poːh,nariz,n
po̰ːh,roça,n
po̰ːh,pimenta,n
po̰ːp,trovão,n
pɔw,fruta (sp),n
ra(wa)wog,surucuá,n
ʃabuːʔ,umbigo,n
ʃagõh,estrela,n
ʃamɨːj,guariba,n
ʃaɾəːɲ,ingá-cipó,n
ʃaʃ,aracu-branco,n
ʃawiːm,bacaba,n
ʃaʔõʃ,assanhaçu,n
ʃeɾiːʔ/ʃɛɾiːʔ,periquito,n
ʃəːn,cabelo,n
ʃɛ̃ːj,tapioca,n
ʃʌ̃k,tamatá,n
ʃʌʃ,aracu,n
taba̰ːh,madeira,n
tabɔd,metade,n
tahɨ̰̃b,peixe,n
tajãn,filho dela,n
tamɛːʔ,no rio,adv?
tatãw̃na̰ːʔ,caibro,n
tatiʔ,aquele,pro?
tatɨʔ,este,n?
taʔɨ̃ːm,esposa dele,n
tɨːŋ,assoalho,n
tɨːw,caminho,n
toːh,quiexada,n
tɔ̰̃ːp,no fundo (do rio),n
tuʔ,toco,n
wã̰ːj,coroca,n
waɟɨb,maruim,n
wapiːt,maracajá,n
watoːɾ,macaco bicó,n
watuːɾ,macaco.sp,n
wawiːʔ,gavião,n
wə̃ːɟ,tatu,n
wəm/wɨːm,morcego,n
wət,estar.em.movimento,v
wɛːɟ,tatu,n
wɨm,quatipuru,n
wojapəm,morro,n
ʔãːɲ,irmã,n
ʔajat,deitar,v
ʔakaːj,caju,n
ʔaɾoːɾ,carará,n
ʔawɨp,relâmpago,n
ʔək,cuia,n
ʔɛːj,tudo bem!,intj?
ʔɨ̃ːn,mulher,n
