guids,entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
060565fa,madiːk1_060565fa-0504-425e-9477-40abe427e5e6,Barbosa,2018-06-20T05:09:53Z,,madiːk,stem,,,,,,"{'27196443-08b4-4e3b-82e9-14987c24f524': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; açaí'}}"
0f3e0747,jahuːn2_0f3e0747-ec4b-4392-bcca-3709a8cade15,Barbosa,2018-06-20T05:09:53Z,,jahuːn,stem,,,,,,"{'102ca3d3-aa4b-4aef-92c5-a1dba5a1f1f4': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; tamanduá bandeira'}}"
11011f18,ʔãːɲ1_11011f18-2e56-4f47-9a70-615f7235c757,Barbosa,2018-06-20T05:09:53Z,,ʔãːɲ,stem,,,,,,"{'a0f42428-da5b-4d80-914a-65bf9d2d14f0': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; irmã'}}"
12c41686,hoːɲ_12c41686-e869-484c-9271-c446bb344e90,Martins,2018-06-20T05:09:54Z,,hoːɲ,stem,,,,,,"{'31005f5c-fc42-4d7e-bfc2-ce2205c6c02a': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; avó'}}"
1b10b3b5,tɔ̰̃ːp1_1b10b3b5-155e-44cc-916b-7278638746c8,Barbosa,2018-06-20T05:09:53Z,,tɔ̰̃ːp,stem,,,,,,"{'cf6d4de6-25d4-4745-9df7-8b8c3259055f': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; no fundo (do rio)'}}"
2006fe18,pʌʔ2_2006fe18-cfbd-42da-9921-099b85ea5e4f,Barbosa,2018-06-20T05:09:53Z,,pʌʔ,stem,,,,,,"{'7240f094-45be-4ac7-96fb-6bd0ebcb7f22': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; pedra'}}"
34037334,jɔ̃ːw2_34037334-1723-44fc-b45c-32076978dff3,Barbosa,2018-06-20T05:09:53Z,,jɔ̃ːw,stem,,,,,,"{'49b83cb5-7388-4f68-a3f6-6b7542eb1184': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; matapi'}}"
40a485f9,koːk2_40a485f9-ff7a-4411-9054-18c5766e39b4,Martins,2018-06-20T05:09:54Z,,koːk,stem,,,,,,"{'af9a43fb-27a6-45d7-9e2d-c45de208723a': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; arrancar (n.i. kog)'}}"
55cf9274,dawug2_55cf9274-5e64-45ec-938b-4b57786cd164,Barbosa,2018-06-20T05:09:53Z,,dawug,stem,,,,,,"{'a7bd6b88-c9ce-4b22-a227-8ad7e1b0ea09': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; zogue-zogue'}}"
69b65da0,ʔoːw2_69b65da0-efcb-44b5-aec4-0fcab8590956,Barbosa,2018-06-20T05:09:53Z,,ʔoːw,stem,,,,,,"{'6348b12b-4bf5-4ab0-8d85-62ef1f664d54': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; avô'}}"
87b78cb7,kalapéé_87b78cb7-da0a-4921-af02-465002851aad,Weir,2018-06-20T02:55:29Z,,kalapéé,stem,,,,,,"{'null': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': 'child'}}"
89445911,awad2_89445911-1a22-4be0-8351-b396b535c72a,Martins,2018-06-20T05:09:54Z,,awad,stem,,,,,,"{'c450b8da-5ae2-4d74-b02b-6159d9ad6a32': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; onça'}}"
8ae97929,kaɾabaʔ2_8ae97929-9a49-4389-8dab-54fb2d7a4e19,Barbosa,2018-06-20T05:09:53Z,,kaɾabaʔ,stem,,,,,,"{'6b4038ef-af5f-4b05-9c65-52c2ab3da3d3': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; arco'}}"
92c6bcbe,awaʔ_92c6bcbe-6618-4d87-9e3f-b3f982cce9d9,Martins,2018-06-20T02:01:05Z,,awaʔ,stem,,,,,,"{'null': {'type': '_component-lexeme', 'variant-type': 'Martins', 'summary': 'comer (pl awa̰ːʔ)'}}"
c56ce826,jɔ̃ːp2_c56ce826-50e3-4f9b-aef4-29cd0e65913e,Barbosa,2018-06-20T05:09:53Z,,jɔ̃ːp,stem,,,,,,"{'bfe9b97b-8b55-4fb0-a312-3797d78b9926': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; japiim'}}"
d7b314a9,wo̰ːɾ2_d7b314a9-7a00-477f-803e-70d2b5f9eef0,Barbosa,2018-06-20T05:09:53Z,,wo̰ːɾ,stem,,,,,,"{'ef732e5a-cd85-4007-bd1c-3c0cff55ed30': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; coruja'}}"
e5a9b44a,nɔ̃ːh_e5a9b44a-535d-4fbc-a143-4da67996e110,Martins,2018-06-20T05:09:53Z,,nɔ̃ːh,stem,,,,,,"{'82af27d8-5082-4a74-af50-27f58e9f36af': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; boca'}}"
f09ac595,doːh2_f09ac595-bfa8-49ef-8682-d9715ae4591b,Martins,2018-06-20T05:09:54Z,,doːh,stem,,,,,,"{'daced675-7fe4-4fa2-b6fe-0a7a33a8cd6e': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; inexistente; negação'}}"
f0d950b3,baga̰ːd_f0d950b3-584b-403f-b03a-ffde77ce3067,Barbosa,2018-06-20T05:09:53Z,,baga̰ːd,stem,,,,,,"{'null': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; folha'}}"
