entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,date_modified
 =dab_f62551f3-a0a5-4ba4-93d1-54fcd72b4088, =dab,stem,dab˺,,,{'bibliography': 'SIL 2011;  Fieldnotes Epps/Obert; 2018'},['8c804958-f401-4cb4-834d-f68b70f4021d'],2018-03-08T07:17:53Z,2018-07-07T14:53:51Z
 =g&apos;aad_ea75dfe4-c1ed-4061-9274-9d1552506703, =g'aad,stem,taʔˈkaʔad˺,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['113018d1-8a45-4e64-8548-ea228a767a93'],2018-03-08T07:17:53Z,2020-01-22T21:25:03Z
 =hooh_fa7ac57e-791f-4525-9c54-71001ec97629, =hooh,stem,hɔ:h,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['6b2ff4fa-cb5b-4d7a-92b1-0c0446cfdfc6'],2018-07-07T14:43:30Z,2018-07-07T14:54:11Z
 =kóm1_b4ef6f78-08bb-4d23-9cba-f68a176930c7, =kóm,stem,kɔbm,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['9e4aac3d-a335-44e5-b2e2-e7e8d10a8df6'],2018-03-23T16:07:18Z,2018-07-07T18:46:57Z
 =kóm2_c8ff3ede-cd52-435e-aa16-b8e6ad9ac937, =kóm,stem,kɔbm,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['afac9822-bc45-4171-bcc1-148111de1839'],2018-07-06T21:08:19Z,2018-07-07T18:48:54Z
 =tsyym_c1e709fa-6d3b-4ad6-b4aa-725e949fa179, =tsyym,stem,tʃ’ɨ:bm,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['5959e1f7-66f6-4b2e-a04b-005053e9df1a'],2018-03-08T07:17:53Z,2018-07-07T14:54:25Z
[ji] wahëë_1a55a25e-11fb-4fd6-acf0-565fecd058a8,[ji] wahëë,phrase,jiʔ  wahə:ʔ,,,,['dd96ef39-6955-46ff-9a0c-cd2e3915751e'],2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
a _98d55498-71bc-4897-91983842f5c02b30,a=,proclitic,ʔa,,"{'a=2_a3b0444d-bbca-4fd6-8dcb-0e21c4ac2a94': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",{'bibliography': 'SIL 2011; Weir 1984'},['c918bbb6-bb97-4ac6-8b02-0e1553b1f487'],2018-03-08T07:17:53Z,2020-01-22T21:20:00Z
a=2_a3b0444d-bbca-4fd6-8dcb-0e21c4ac2a94,a=,proclitic,,"{'a=1_98d55498-71bc-4897-9198-3842f5c02b2f': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,,2019-11-06T14:45:50Z,2019-11-06T14:45:50Z
aä̃_74df2d38-d4c9-40fb-98a2-8b980f93bfde,aä̃,stem,aʔʌ̃,"{'bed4129c-a622-42e6-81b2-2372039e7c4f': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:52Z,2018-06-20T01:46:10Z
