headword,sense,entry_id,morph_type,pronunciation,variant_of,these_vars,other_forms,note,date,date_modified
ʃaɾoːp,"[['Noun', ""{'en': 'cipó'}"", '', '', '', '']]",ʃaɾoːp_0023c0a0-6de7-452a-85b6-0f6e0794014a,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
wao taah,"[['Noun', ""{'en': 'small.basket', 'pt': 'cesto.pequeno'}"", ""{'en': 'basket; small', 'pt': 'cesto pequeno'}"", '', '', '']]",wao taah_002ca005-1366-4a7b-aff1-ac10db10b768,phrase,waʔoʔ ta:h,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
daheg'õõn,,daheg&apos;õõn_0062786c-16c2-4325-b3e4-fac26c159e80,stem,dahegõ̰:n,"{'6d128d41-81a3-471c-9d02-f855e642415a': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
agëëd,,agëëd_0077e8c6-ecaf-409e-9076-3ac5e8752c89,stem,,"{'agyyt_844f1202-4d2e-4db2-bdb5-08c5213c41af': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,,2019-11-06T14:32:27Z,2019-11-06T14:32:27Z
tame tame,"[['n', ""{'pt': 'árvore.sp'}"", ""{'pt': 'esp. de árvore; tinta para pintar as cuias de casca dessa árvore'}"", '', '', ""{'tame_31e29a2f-491b-4003-a502-dfec5bc71c0f': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}""]]",tame tame_007e8774-ab6b-4f2a-b53a-64b144453ab0,phrase,tame tame,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ʃɤːw,"[['Noun', ""{'en': 'pajé (pl sɤ̰ːw)'}"", '', '', '', '']]",ʃɤːw_009b3e07-21aa-4c01-aeda-2447f5bc3e94,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
naga̰ːd,"[['Noun', ""{'en': 'língua'}"", '', '', '', '']]",naga̰ːd_00bdbea3-65ff-4c88-bb09-064fdb77ec72,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
du doo,"[['v', ""{'pt': 'começar'}"", ""{'pt': 'começar'}"", '', '', ""{'du do_f04e460e-1fca-47d3-a451-15fe4f773b94': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",du doo_00f0ad34-5134-4419-9827-2e04360e87e0,phrase,du do:,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ʔawog,"[['Noun', ""{'en': 'seu abdômen'}"", '', '', '', '']]",ʔawog_00f7b57b-f98c-4687-bea0-9f62e1329d93,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
agõng,"[['v', ""{'pt': '?'}"", ""{'pt': 'dor associada à pressão do pus'}"", '', '', ""{'agõõ&#xA;agõõh_1d766776-1931-480e-977b-b58d276ced0d': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'agõõh_6c755d0f-ffd9-4912-88d2-daaf488e9cf3': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",agõng_0100623e-019f-4443-b775-20ca89bf8c76,stem,agõŋ,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
