martins,gloss,pos,barbosa,note
baka̰ːd,folha,n,baga̰ːd,"Barbosa 2005, folha"
dawug,espécie de macaco,n,dawug,"Barbosa 2005, zogue-zogue"
haɾum,tipiti,n,haɾũm,"Barbosa 2005, tipiti"
jahuːn,tamanduá bandiera,n,jahuːn,"Barbosa 2005, tamanduá bandeira"
jɔ̃ːp,japiim (espécie de ave),n,jɔ̃ːp,"Barbosa 2005, japiim"
jɔ̃ːw,matapi (espécie de armadilha),n,jɔ̃ːw,"Barbosa 2005, matapi"
kaɾabaʔ,arco,n,kaɾabaʔ,"Barbosa 2005, arco"
madɯːk,açaí,n,madiːk,"Barbosa 2005, açaí"
maɾahud,solteiro,n,maɾahuːd,"Barbosa 2005, solteiro"
pɔ̰p,no alto,adv?,po̰ːp,"Barbosa 2005, no alto"
pʌʔ,pedra,n,pʌʔ,"Barbosa 2005, pedra"
tɔ̰̃p,no fundo,adv?,tɔ̰̃ːp,"Barbosa 2005, no fundo (do rio)"
wo̰ːɾ,espécie de coruja,n,wo̰ːɾ,"Barbosa 2005, coruja"
ʔʌ̃ɲ,irmã,n,ʔãːɲ,"Barbosa 2005, irmã"
ʔoːw,avô,n,ʔoːw,"Barbosa 2005, avô"
awʌn,nome de uma cachoeira,n,,
babʌʔ,aqui,adv?,,
badɯːk,socar terra,v,,
bag,luz,n,,
bajuːʔ,calor,n,,
bɤːw,espécie de cobra,n,,
boːh,mistura para coca,n,,
boːɾ,inajá,n,,
bɔːh,sobrinha,n,,
daːb,fazer rede,v,,
damaːh,centopéia,n,,
dawɯd,comprido,?,,
dɛ̃ːm,espécie de árvore,n,,
dɛn,bicho-do-pé,n,,
doːh,inexistente; negação,n,,
dɔ̃m,rabo,n,,
duːh,fundo,n,,
ga̰ɟ,areia,n,,
gamãg,espécie de pássaro,n,,
gawɤ̰ːŋ,rato,n,,
goːʔ,arrancar,v,,
gɔːɾ,espécie,n,,
gɔ̰̃ːʔ,macaco-prego,n,,
gɯːj,mosquito,n,,
gʌːw,derrubar roça,v,,
hahũːɲ,não ter preguiça,v,,
hiːh,abelha,n,,
hḭ̃ːw,som de quebrar,n,,
hiwiʔ,cabeludo,n,,
hoːg,colher sorva n.i.,v,,
ho̰ːh,canoa,n,,
hop,banhar-se (n.i. hob),v,,
hɔːh,virilha,n,,
hɔ̃ːh,maduro,?,,
hɔ̃ːj,escrever n.i.,v,,
hɔ̃k,cortar (n.i. hɔ̃g),v,,
hɔ̃ŋ,maduro,n,,
hũːt,derreter (n.i. huːd),v,,
hɯ̰ːb,desejo,n,,
hɯ̰̃ːb,peixe,n,,
hɯ̰̃ːw,o que não presta mais,n,,
hɯ̃p,ralar,v,,
hʌ̃h,"tocar flauta, forma marcada",v,,
jã̰ːɾ,caranguejo,n,,
ja̰ːʔ,fezes,n,,
