\lx,\ge,\ps,\bb,\ph,\va,\vc,,
a,2.SG.POSS,pro,Weir 1990,ʔaʔ,,,a,"Barbosa 2005, 2SG.POSS"
ajʉm,at.night,adv,Weir 1994,ʔajəm,,,,
awad,jaguar,n,"Weir 1990, Weir 1994, Martins 2005",ʔawad,awad,"Martins 2005, onça",ʔawad,"Barbosa 2005, onça"
awʌn,nome de uma cachoeira,n,,,,,,
baːh,meio das costas,adv?,,,,,,
babʌʔ,aqui,adv?,,,,,,
badɯːk,socar terra,v,,,,,,
bag,luz,n,,,,,,
bahɨ̃nh,"in.front.of, beyond",post,Weir 1986,bahɨ̃ɲ,,,,
bajuːʔ,calor,n,,,,,,
baka̰ːd,folha,n,,,baga̰ːd,"Barbosa 2005, folha",,
baɾajaːʔ,abacate,n,,,,,,
bɔːh,sobrinha,n,,,,,,
bɤːw,espécie de cobra,n,,,,,,
biːʃ,pipira,n,,,,,,
biin,medicine,n,Weir 1994,biːn,,,,
biin,treat n.i.,v,Weir 1994,biːn,,,,
boːh,mistura para coca,n,,,,,,
boːɾ,inajá,n,,,,,,
boj,pênis,n,,,,,,
bong,be.in.movement.MULT (pl?),v,Weir 1994,boŋ,,,,
bóóg,manioc,n,Weir 1994,bɔːg,,,boːg,"Barbosa 2005, mandioca"
bʉ́,ABL,post,"Weir 1986, Weir 1990",bʌʔ,,,,
bʉʉh,juice,n,Weir 1994,bəːh,,,,
daːb,fazer rede,v,,,,,,
daap,for.no.reason,adv,Weir 1994,daːp,,,,
dab,meat,n,"Weir 1990, Weir 1994",dab,,,,
dahééh,also,con,Weir 1990,dahɛːh,,,,
damaːh,centopéia,n,,,,,,
dapaːʔ,paca,n,,,,,,
dawɯd,comprido,?,,,,,,
dawug,espécie de macaco,n,,,dawug,"Barbosa 2005, zogue-zogue",,
dɔ̃m,rabo,n,,,,,,
dɛ̃ːm,espécie de árvore,n,,,,,,
dɛn,bicho-do-pé,n,,,,,,
dinaa,PART,?,Weir 1994,dinaːʔ,,,,
dó,still,part?,Weir 1994,dɔʔ,,,,
do̰ːb,japó,n,,,,,,
doːh,inexistente; negação,n,,,,,,
doo,be (n.i. do),v,Weir 1994,doːʔ,,,,
doo,take,v,Weir 1994,doːʔ,,,,
doo,the.one,pro,"Weir 1986, Weir 1990",doːʔ,,,,
dooh,NEG,pro?,Weir 1994,doːh,doːh,"Martins 2005, inexistente; negação",,
dóón,sup.with.finger,v,Weir 1986,dɔːn,,,,
duːh,fundo,n,,,,,,
duːʃ,papagaio.sp,n,,,,,,
dʉ́k,be.suspended,v,"Weir 1986, Weir 1990",dʌk,,,,
dʉ́ng,fall.unitary (sg?),v,Weir 1986,dʌŋ,,,,
éé,father,n,"Weir 1986, Weir 1990",ʔɛːʔ,,,,
eh (v. eeh),be.big,v,Weir 1990,ʔeh (pl ʔeːh),,,,
ga̰ɟ,areia,n,,,,,,
gamãg,espécie de pássaro,n,,,,,,
gawajad,veado,n,,,,,,
gawɤ̰ːŋ,rato,n,,,,,,
gɔːɾ,espécie,n,,,,,,
gɔ̰̃ːʔ,macaco-prego,n,,,,,,
gɨɨy,mosquito,n,Weir 1994,gɨːj,gɯːj,"Martins 2005, mosquito",,
gɯːj,mosquito,n,,,,,,
gó,in,post,"Weir 1986, Weir 1990",goʔ,,,gɔʔ,"Barbosa 2005, dentro"
goːʔ,arrancar,v,,,,,,
gʉ́,be.in.hammock,v,Weir 1986,gʌʔ,,,,
gʉʉh,be.sweet,v,Weir 1990,gəːh,,,,
gʉʉt,be.standing,v,Weir 1994,gəːt,,,,
gʌːw,derrubar roça,v,,,,,,
hã,DAT,post,"Weir 1986, Weir 1990",hãʔ,,,,
haːk,surucucu,n,,,,,,
hahũːɲ,não ter preguiça,v,,,,,,
hapaleeh,perf(ective?),part?,Weir 1994,hapaɾeːh,,,,
haɾum,tipiti,n,,,haɾũm,"Barbosa 2005, tipiti",,
haɾũm,tipiti,n,,,,,,
hɔːh,virilha,n,,,,,,
hɔ̃ːh,maduro,?,,,,,,
hɔ̃ːj,escrever n.i.,v,,,,,,
hɔ̃k,cortar (n.i. hɔ̃g),v,,,,,,
hɔ̃ŋ,maduro,n,,,,,,
hiːh,abelha,n,,,,,,
hɨ̃ːj,formiga.sp,n,,,,,,
hḭ̃ːw,som de quebrar,n,,,,,,
hɨɨh,DEM,DEM,Weir 1994,hɨːh,,,,
hɨɨh,go.downriver,v,Weir 1994,hɨːh,,,,
hɨng,go.downriver,v,Weir 1986,hɨŋ,,,,
hiwiʔ,cabeludo,n,,,,,,
hɯ̰ːb,desejo,n,,,,,,
hɯ̰̃ːb,peixe,n,,,,,,
hɯ̰̃ːw,o que não presta mais,n,,,,,,
hɯ̃p,ralar,v,,,,,,
hoːg,colher sorva n.i.,v,,,,,,
hoːh,fígado,n,,,,,,
ho̰ːh,canoa,n,,,,,,
hob (n.i. hoob),take.a.bath,v,Weir 1994,hob (n.i. hoːb),,,,
hoonh,grandmother,n,Weir 1990,hoːɲ,hoːɲ,"Martins 2005, avó",,
hop,banhar-se (n.i. hob),v,,,,,,
huːd,areia,n,,,,,,
hũːt,derreter (n.i. huːd),v,,,,,,
hũːt,"tabaco, fumo",n,,,,,,
hʉbnxaa,cause,post?,Weir 1994,həbna̰ːʔ,,,,
hʉ́ʉ́y,jungle,n,Weir 1994,hʌːj,,,,
hʌ̃h,"tocar flauta, forma marcada",v,,,,,,
hxãak,stop.to.rest,v,Weir 1986,hã̰ːk,,,,
hxóóh,canoe,n,"Weir 1986, Weir 1990",hɔ̰ːh,,,,
hxʉ́ʉ́d,what?,v,Weir 1994,hʌ̰ːd,,,,
ɨb,shaman,n,Weir 1994,ʔɨb,,,,
ɨh,sleep n.i.,v,Weir 1994,ʔɨh,,,,
ɨɨm,wife,n,Weir 1994,ʔɨːm,,,,
ɨnh,sister,n,Weir 1994,ʔɨɲ,,,,
jã̰ːɾ,caranguejo,n,,,,,,
ja̰ːʔ,fezes,n,,,,,,
ɟa̰ːʔ,arraia,n,,,,,,
jabaɾuːt,azul,adj?,,,,,,
ɟabud,poraquê,n,,,,,,
jahamaːd,mutum,n,,,,,,
ɟahɤːm,caranguejo,n,,,,,,
jahuːn,tamanduá bandiera,n,,,jahuːn,"Barbosa 2005, tamanduá bandeira",,
ɟakod,embaúba,n,,,,,,
jamaʃiːʃ,macaquinho,n,,,,,,
jamɔg,catitu,n,,,,,,
jaɾaːk,onça pintada,n,,,,,,
jatad,aracu,n,,,,,,
ɟawaːj,mucura,n,,,,,,
ɟawɨb,"peixe-rebeca, bodó",n,,,,,,
jawʌk,japurá,n,,,,,,
jɔ(ː)n,tamanduá,n,,,,,,
jɔ̃ːp,japiim (espécie de ave),n,,,jɔ̃ːp,"Barbosa 2005, japiim",,
jɔ̃ːw,matapi (espécie de armadilha),n,,,jɔ̃ːw,"Barbosa 2005, matapi",,
jɔh,zagaia,n,,,,,,
jɔʔ,costas,n,,,,,,
jém,yesterday,adv?,Weir 1990,jɛm,,,,
jɤːʔ,pupunha,n,,,,,,
ɟiːp/ɟḭːp,beija-flor.sp,n,,,,,,
jigamʌ̃ːʔ,pomo de adão,n,,,,,,
ɟɨ̃m gapɛd,palma do pé,n,,,,,,
jiʔ,pronome indeterminado,pro,,,,,,
