guids,entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
04d14da4,sét hẽ_04d14da4-0773-43e5-be7b-25fe3fe7100c,Fieldnotes Epps/Obert; 2018,2018-07-07T17:53:45Z,,sét hẽ,phrase,{},,ʃɛt hẽʔ,['b76b93ca-1032-4a40-9a95-1031ce3ca8d9'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
1cfd2a36,seeh2_1cfd2a36-ecf9-42a1-8bdc-2975ec83305d,Fieldnotes Epps/Obert; 2018,2018-07-07T17:55:36Z,,seeh,phrase,{},,ʃe:h,['1df41774-55b8-4973-9205-89e0e4227579'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
1f4cf45c,tehub hẽ_1f4cf45c-5f92-4f18-a8c8-eb6ae5db53c4,Fieldnotes Epps/Obert; 2018,2018-07-06T18:50:02Z,,tehub hẽ,phrase,{'Note': 'not sure if there is a shorter form - hub?'},,teˈhub hẽʔ,['23c728ee-f682-4321-a428-e44f46b16f56'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
4356d4e1,akaaj_4356d4e1-bb4c-4d50-9e1f-0fd644063bfd,Fielndotes Epps/Obert; 2018,2018-09-04T00:05:48Z,,akaaj,stem,{},,ʔaˈka:j,['7b2f74a2-1187-430f-883d-bc7461515afc'],,"{'akaaj yb_67407264-1414-46ba-9fff-54a210cc433c': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}}"
60a238fe,Wajats Byy_60a238fe-96bd-4552-a789-6bae10ebad20,SIL Dict 2011,2018-03-27T02:08:44Z,,Wajats Byy,phrase,{},,Wajaɟ Bɨ:,['53c30c19-ab2d-4d35-a3d0-0eb65454af32'],,"{'null_1': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
740bd66c,nu k’ëë_740bd66c-bce6-41f0-b0db-badc43e94128,Fieldnotes Epps/Obert; 2018,2018-07-07T17:41:08Z,,nu k’ëë,phrase,{'Note': 'problem: nũ kǝʔeʔ or  nũ kɨʔɨʔ'},,nũ kǝʔeʔ,['60ce194c-de53-425d-94f3-03645fc7df79'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
761d05d9,wah’ëë säg_761d05d9-bb09-467e-b1fc-f9eb4975877a,Fieldnotes Epps/Obert; 2018,2018-07-07T17:52:06Z,,wah’ëë säg,phrase,{'Note': 'problem:  wahˈhǝʔǝʔ ʃʌg˺ or waˈhɨʔɨʔ  ʃʌg'},,wahˈhǝʔǝʔ ʃʌg˺,['21a71259-4fd3-49a8-b2eb-2a178c69ac6b'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
8ac18045,k’ããts tsyg_8ac18045-bd45-4c72-b53f-1a45c1a34510,Fieldnotes Epps/Obert; 2018,2018-07-06T18:57:18Z,,k’ããts tsyg,phrase,{},,kãʔãɉ˺ tʃ’ɨg˺,['9a9d2855-bda6-44b1-8127-cce238543d8b'],,"{'k’ããts_3a94f9ae-6b60-4f40-8241-3d12b67a67be': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Compound'}}"
a32a18a4,ji wii_a32a18a4-6f7b-485f-970d-b32459229373,Fieldnotes Epps/Obert; 2018,2018-07-06T20:27:47Z,,ji wii,phrase,{},,jiʔˈwi:ʔ,['05113311-c10a-487a-9113-cc9a011fe458'],,"{'ji_5c846915-d6fc-437b-8c7d-67cffc4f1362': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}}"
a5194e98,hɨ̰: gadajaŋ_a5194e98-c0fc-42dd-83b2-c4d9365b077e,SIL Dict 2011,2018-03-22T16:09:01Z,,hɨ̰: gadajaŋ,phrase,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},"{'Sil Dict 2011': ""h'yy gadajang, Não indicativo: h'yy gadaja(h)""}",hɨ̰: gadajaŋ,['664dc772-03cd-4987-bcfd-992dd5c23347'],"{'hʹyy gadajah_4ae5f5e5-3408-4e14-8d13-cbfa3f84c827': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'hʹyy gadaja_d963132e-822f-4bbd-a36a-54d8c61f0326': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}","{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
