,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
hyng_db4ae79c-798a-4209-b026-517e5edf7160,,2018-03-28T01:58:07Z,2018-03-28T01:58:07Z,hyng,phrase,"{'Note': ""found in cartilha 4; lição 10; given in Weir 1990 as (nɨng) 'go.downriver'""}",,hɨŋ,,,"{'adëëh hỹng_989b21e0-acb9-4328-a6ee-5a7508189a0a': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}"
ah&apos;ỹỹ_014da936-e5cd-4990-ada4-17cbaa8a737a,,2018-03-23T16:11:38Z,2020-01-22T21:25:22Z,ah'ỹỹ,stem,{'bibliography': 'encontrado em cartilha 4; lição 17'},{},ahɨ̰̃:,,,"{'ahỹỹh_f733ec49-2377-44b4-8f60-a93e6a22ff4e': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}"
jʹeenh_033fa6a4-bc25-446d-8349-5ce48c651c79,,2018-03-08T07:17:53Z,2018-06-20T01:06:55Z,jʹeenh,stem,{'bibliography': 'encontrado em cartilha 4; lições 2; 3 e 12; cada vez com sentido futuro'},{},jḛ:ɲ,['76dbc6d9-b69a-428f-8404-501dd5aa7637'],,
og_0494a7fa-d8da-4ac0-91c0-9a9720cc9179,,2018-03-08T07:17:53Z,2018-06-20T01:06:55Z,og,stem,{'bibliography': 'encontrado em cartilha 4; lição 3; ortografia não certa'},{},og,['9590b51f-1870-494d-872b-0b8ee8932571'],,
matëh_0577a7cf-1a2c-4828-a81c-ecff2bab519b,,2018-03-08T07:17:52Z,2018-06-20T01:10:35Z,matëh,stem,{'bibliography': 'cartilha 4; lição 13'},{},matəh,,,"{'03c77401-7d29-449e-8690-79b696621935': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}"
ta nyy_0c041358-e3a3-4af9-bd2e-8f9a831c1cfd,,2018-03-08T07:17:52Z,2018-06-20T01:10:35Z,ta nyy,phrase,{'bibliography': 'cartilha 4; lição 14'},{},ta nɨ:,,,"{'28b93402-207f-4897-bcc9-bc03eac8c7f2': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}"
tarabʹiir_0f63a383-1083-460b-8cde-add3326cf317,,2018-03-08T07:17:53Z,2018-06-20T01:06:55Z,tarabʹiir,stem,{'bibliography': 'encontrado em cartilha 4; lição 3'},{},taɾabḭ:ɾ,['a5b82222-a737-4e50-89de-da16ef801861'],"{'taɾabḭɾ_7419cdf8-6b8c-44f5-9517-0b846de8ecca': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'minhoca'}}",
wäd_0fb08e70-34d6-402e-9b3a-7a92602c7e34,,2018-03-08T07:17:53Z,2018-06-20T01:06:55Z,wäd,stem,{'bibliography': 'encontrado em cartilha 4; lições 2; 4; 5; 15; 17; 18 e 15'},{},wʌd,['814d3c1a-fc0d-4a28-ab96-64634384e8ad'],,
gawëëj1_1029c2ef-cd3b-4bc9-8838-8dc00dd5d4a2,,2018-03-08T07:17:52Z,2020-01-25T04:34:58Z,gawëëj,stem,{'bibliography': 'cartilha 4; lição 14'},{},gawə:j,,,"{'af14f041-4eb0-4cc5-a2b4-4eca984911d4': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}"
mo nʹaa kawʹaat_11949e62-048c-4747-ae3a-be8077dfb1de,,2018-03-20T23:00:19Z,2018-06-20T01:06:55Z,mo nʹaa kawʹaat,phrase,{'bibliography': 'encontrado en cartilha 4; lição 2'},{},mo na̰: kawa̰:t,,,"{'moo nʹaa kawʹaat_82d0dccc-bff7-4bfb-802a-812407c55172': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}"
