sense_id,pos,gloss,def,reverse,note
e92169c5-ce3e-4a09-9da4-f6860afd0478,Noun,{'en': 'cipó'},,,
802366cc-fff6-4c35-bff4-a403f4b4130d,Noun,"{'en': 'small.basket', 'pt': 'cesto.pequeno'}","{'en': 'basket; small', 'pt': 'cesto pequeno'}",,
a0d825d5-a0ae-402d-8201-6805e39cad0b,n,{'pt': 'árvore.sp'},{'pt': 'esp. de árvore; tinta para pintar s cuias de casca dessa árvore'},,
2e7ced09-86a7-4ad6-a7a0-e36f9523d65a,Noun,{'en': 'pajé (pl sɤ̰ːw)'},,,
062365d9-1fcd-4828-980d-5fbacad0019b,Noun,{'en': 'língua'},,,
1040d54b-f002-4f07-826d-01add3578cf8,v,{'pt': 'começar'},{'pt': 'começar'},,
8ea40d2d-71df-47cf-b1f1-d95a3bdb6476,Noun,{'en': 'seu abdômen'},,,
6e8e07f3-28a9-4adb-b230-f819c944b12a,v,{'pt': '?'},{'pt': 'dor associada à pressão do pus'},,
6c7274f4-8b5b-442d-9e05-9dfbff1f938a,v imp,{'pt': 'me.da'},{'pt': 'me da'},,
a1f37a78-5a17-461d-bae5-242b45ee9b4d,Noun,{'en': 'relâmpago'},,,
2930842e-2987-43fb-a6cf-824b62faa804,Verb,{'en': 'esmagar; forma marcada'},,,
0a53e4ac-73b8-4116-9c0c-091bf6a6a02f,n,{'pt': 'rede'},,,
a5ff997c-ff1b-4fa9-a8d0-3d48dd8bd76a,v,{'pt': 'espantar'},{'pt': 'afugentar; espantar'},,
9e409799-d500-44e1-97b4-66925497edde,,"{'en': 'shoulder', 'pt': 'ombro'}","{'en': 'shoulder', 'pt': 'ombro'}",,
3954f8c6-283b-4e9f-a9b1-5e9ea6096fcc,adv?,"{'en': 'again', 'pt': 'de.novo'}","{'en': 'again', 'pt': 'de.novo'}",,
a8675526-039d-459c-b4c8-c3434645200d,,"{'en': 'die', 'pt': 'morrer'}","{'en': 'die', 'pt': 'morrer'}",,
3d19b6a9-f920-46d1-b00b-de01d5c63975,Noun,{'en': 'carará'},,,
ae56a69b-7017-4a32-a8ea-5f87e4558b57,adv op,{'pt': 'rio.pra.baixo'},{'pt': 'rio para baixo'},,
edf56ebd-dec5-40c2-8444-09892cd2d358,n,"{'en': 'small.fly', 'pt': 'mosca.pequena'}","{'en': 'small fly (spec.)', 'pt': 'mosca pequena (esp.)'}",,
82d7231c-5f51-4860-90b3-f2da90deba51,Question particle,"{'en': 'what', 'pt': 'que'}","{'en': 'what', 'pt': 'que'}",,
4bcb3e10-ba0a-4e58-8984-5b1a542a42f6,Verb,"{'en': 'swim', 'pt': 'nadar'}","{'en': 'swim', 'pt': 'nadar'}",,
fd9458ea-4516-48d8-9157-9c632b036e29,Noun,"{'en': 'bastard.plantain', 'pt': 'bananeiro.do.mato'}","{'en': 'bastard plantain', 'pt': 'bananeira do mato; sororoca'}",,
1813965a-b95a-4afb-8608-7bea9a3fbed4,Noun,"{'en': 'macaw', 'pt': 'arara.azul'}","{'en': 'blue macaw', 'pt': 'arara azul'}",,
ec33587e-14a8-4d81-aa28-8e44af237ff4,Noun,{'en': 'desejo'},,,
