\ge,\gp,\de,\dp,\lx
angleworm,minhoca,,,gasoom
caterpillar (edible),lagarta,,,bet’ëëh
centipede,centopéia,,,sagõõh yb [‘pai de estrela’]
scorpion,escorpião,,,sëëj
cicada,cigarra,,,daar; karaweng-weng; tsiw (tipos)
flea,pulga,,,dén (pequeno; bicho-do-pé); kadiib (maior; fica no cachorro)
fly,mosca,,,tawarẽẽh
cricket,grilo,,,riw
edible palm-dwelling larva (palm weevil),larva; broca-do-coqueiro; aramandaiá,,,kewan t’ëëh
praying mantis,louva-a-deus,,,karahon boj; (saramah?)
mosquito,mosquito; carapana,,,gyyj
termite,cupim,,,kamara
tick,carrapato,,,gawar’ëëb/gawar’yyb (carrapato medio); majakég (grande; branco); gamatsih (carrapato pequeno; da coça)
wasp,caba,,,atëëd
snail,caracol,,,waroor
spider,aranha,,,sanajoo
jaguar,onca,,,awad
manatee,peixe-boi,,,wajats
brown woolly monkey,macaco barrigudo,,,matatoor
howler monkey (red-handed),guariba,,,samỹỹj
tufted capuchin monkey,macaco prego,,,jaw’ëëj
White fronted capuchin,Caiarara,,,hëëw/hyyw
White-fronted spider monkey,macaco aranha; coatá; quatá ,,,jaw’ëëj yb
opossum,mucura,,,tsawaaj
Giant Otter,ariranha,,,aj’oog
Neotropical Otter (small),lontra,,,mukejar; bakuuj
collared peccary,caititu,,,jamog
White-lipped peccary,queixada,,,tooh
porcupine,cuandu; porco-espinho ,,,kakoos yb
cotamundi; coatimundi,quati,,,kabë
agouti (Black agouti; Black-rumped agouti),cutia,,,bahe
capybara,capivara,,,kajamaah
Green Acouchi,cutiara,,,mabëng
paca (lowland),paca,,,depaa
Amazonian marsh rat,rato de agua,,,bahõd (rato grande)
mouse,camundongo,,,gaw’ëëng
squirrel,serelepe; quatipuru; esquilo,,,tarog
tapir (South American Tapir),anta,,,t’ëëng
deer,veado; cariacu,,,kawajad
horse,cavalho,,,kawaar; kawajad yb (lit. veado-pai)
bastard plantain,bananeira do mato; sororoca,,,jeer
butternut tree,piquia; piqui,,,kane
cacao,cacau,,,kaan
curare,curare,,,p’yym
