entry_id,bibliography,citation_form,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
wao taah_002ca005-1366-4a7b-aff1-ac10db10b768,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,wao taah,phrase,,,waʔoʔ ta:h,['802366cc-fff6-4c35-bff4-a403f4b4130d'],,{}
janooh_022d930d-b619-4a77-8ff4-fa5ea30739e8,Fieldnotes Epps/Obert 2018,,2018-07-07T20:57:29Z,,janooh,stem,{},,jaˈno:h,['9e409799-d500-44e1-97b4-66925497edde'],,{}
p’aa hẽnh_022f0eb2-2301-40e8-809c-927ccebeff3c,Fieldnotes Epps/Obert 2018,,2018-07-15T20:18:56Z,,p’aa hẽnh,phrase,,{'Sil Dict 2011': 'pʹaa hẽnh'},paʔaʔ hẽɲ,['3954f8c6-283b-4e9f-a9b1-5e9ea6096fcc'],"{'pʹaa hẽnh_988a43b7-7d72-4d87-be1d-c63c761e1dc2': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
dajëp_024eb574-aa9a-4bea-adc6-12857406c334,Fieldnotes Epps/Obert 2018,,2018-07-10T00:09:23Z,,dajëp,stem,{},,daˈjǝp˺,['a8675526-039d-459c-b4c8-c3434645200d'],,{}
tawarẽẽh_025c1d2a-ce6b-4f4a-89c6-58f7995ce55a,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,tawarẽẽh,stem,{},,tawaˈɾẽ:ʔ,['edf56ebd-dec5-40c2-8444-09892cd2d358'],,{}
h’ëëd_025fec92-6af8-4d61-8544-bdb0e0362545,Fieldnotes Epps/Obert 2018,,2018-07-11T00:00:38Z,2020-01-08T19:24:50Z,h’ëëd,stem,{},{'Sil Dict 2011': 'hʹëëd'},hǝʔǝd,"['82d7231c-5f51-4860-90b3-f2da90deba51', '82d7231c-5f51-4860-90b3-f2da90deba51']","{'hʹëëd2_9e74513c-440f-4e3d-9106-81f0bcd89d90': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'hʹëëd1_a60368d9-bc6d-49b9-aeef-eaa8980142fa': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",
atsóm_02a79639-e72e-482a-98fe-e2a3e76d3f81,Fieldnotes Epps/Obert 2018,tsóm,2018-07-10T23:19:31Z,,atsóm,stem,{},,ʔaˈɉ’ɔbm,['4bcb3e10-ba0a-4e58-8984-5b1a542a42f6'],,{}
jeer_02adeefa-c0e5-4849-95e7-63f3e5494313,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,jeer,stem,,,je:ɾᵊ,['fd9458ea-4516-48d8-9157-9c632b036e29'],,{}
keroo_0309e768-1308-4e05-955c-92fa27bdc0b1,Fieldnotes Epps/Obert 2018,,2018-07-27T20:28:41Z,,keroo,stem,{},,,['1813965a-b95a-4afb-8608-7bea9a3fbed4'],,{}
naëng_031a7339-0644-4618-af27-88f71d6565db,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,naëng,stem,{},{'Barbosa': 'naʔəŋ'},naˈʔǝgŋ,"['160c0f30-fdd5-45bb-9b4d-12f03592f4ea', 'da503054-2051-4953-ab79-1f3b7bef531f']","{'naʔəŋ1_6a936ca2-4b81-4ef8-9523-96493e28028f': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'água'}, 'naʔəŋ2_53d64a2f-8e76-45e0-912f-3064e781e9fa': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{}
kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d,Fieldnotes Epps/Obert 2018,,2018-07-09T13:45:32Z,,kawa,stem,{},,kaˈwaʔ,['baa0255c-d216-40c6-9314-c2b8ae598c65'],,{}
noo keham_0456f9ea-7465-48e4-9c8e-0237e472be1c,Fieldnotes Epps/Obert 2018,,2018-07-10T23:43:22Z,,noo keham,phrase,{},,nɔ̃:keʔˈhabm,['67813880-b0ef-4e72-8cc0-55dda9bf5e6f'],,{}
asooh_045c762b-0b2e-4233-a013-7e921270d050,Fieldnotes Epps/Obert 2018,sooh,2018-03-08T07:17:53Z,,asooh,stem,{},{'Weir': 'sooh'},ʔaˈʃo:h,['49d89e7e-ca3b-4eaf-970c-5112be5fc622'],"{'sooh_e9c38f60-21ca-4df6-98bc-73b6d002930b': {'type': '_component-lexeme', 'variant-type': 'Weir'}}",{}
sét hẽ_04d14da4-0773-43e5-be7b-25fe3fe7100c,Fieldnotes Epps/Obert 2018,,2018-07-07T17:53:45Z,,sét hẽ,phrase,{},,ʃɛt hẽʔ,['b76b93ca-1032-4a40-9a95-1031ce3ca8d9'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
karapee_0608a430-217f-4595-8307-b236eef0ae5b,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,karapee,stem,{},"{'Weir': 'kalapéé', 'SIL Dict 2011': 'karapee, Plural: karepé'}",kaɾaˈpe:ʔ,['ec6b2a91-b8ab-44f3-8200-648010fa9137'],"{'karepé_7c800678-ce5e-401e-abba-a2b95fbbf65c': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",{}
baad_068ae71c-c922-438c-9569-dad5b2122f74,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,baad,stem,{},,ba:d˺,['783a338a-818d-4a66-9784-aae54e3af35a'],,{}
taats_06fa1be1-fd07-4e5b-8efb-4684de883e8e,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,taats,stem,,,ta:ɟ̚,['0bcbba71-1078-42e3-b6dc-dc251e2d8e8e'],,{}
kakoos yb_07832269-7792-4503-a931-31d64643cc9a,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,kakoos yb,phrase,,,kako:ʃ ʔɨb̚,['4b406dde-abeb-45c4-be61-d326a330ea83'],,{}
pewóp hẽ_083be29b-071a-45ec-bd6b-c4935e1ae87b,Fieldnotes Epps/Obert 2018,,2018-07-08T18:25:37Z,,pewóp hẽ,phrase,{},,peʔˈwɔp˺,['7fbd2f47-c78c-4fd7-9aa5-89ad13550e63'],,{}
kawad puuw (tÿÿg)_083ca43d-56d8-4a51-98c4-4109ef14938b,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,kawad puuw (tÿÿg),phrase,,,kawad̚ pu:w  tə:g̚,['c72b8439-5d2b-4279-bda9-8034d3430c1b'],,{}
häd_090789e5-38eb-49f0-9832-3449ab6f71a9,Fieldnotes Epps/Obert 2018,,2018-07-07T17:36:29Z,,häd,stem,{},,hʌd˺,['28976492-decb-410a-aac6-75cd5b7073ae'],,{}
gor’ëëj_09bf004c-752a-4c01-9273-5fad683b954e,Fieldnotes Epps/Obert 2018,,2018-07-27T20:22:56Z,,gor’ëëj,stem,{},,,['71701844-6504-4d95-853e-158eb0eb8caa'],,{}
madyyk_09e54f3c-410b-415c-8850-75ea270e4552,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,madyyk,stem,{},"{'Martins': 'madɯːk', 'Barbosa': 'madiːk'}",maˈdɨ:k˺,['9b92b2cb-bb24-4ffd-bb03-3b21acf80bd0'],"{'madɯːk_a79dbe05-2ba9-47a7-8e82-412e1dcbc089': {'type': '_component-lexeme', 'variant-type': 'Martins'}, 'madiːk2_33d37501-2096-43ca-8bdd-cfcc695acd7c': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{}
majyyw_0acd6e09-f726-4b4d-986e-4b28969150e2,Fieldnotes Epps/Obert 2018,,2018-07-04T13:22:00Z,,majyyw,stem,{},,maˈjɨ:w,['36e6dd1e-e554-49e0-9e40-7164c8216f21'],,{}
manee_0b01b419-7b9e-43f1-8118-21aa51edd0b7,Fieldnotes Epps/Obert 2018,,2018-09-04T00:04:27Z,,manee,root,{},,mãnẽ:ʔ,['ccb1c736-e479-487d-aa05-d74fb2f3f1cc'],,{}
jag tyd_0b168580-4c78-470b-b8cc-9e258c254748,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,jag tyd,phrase,,,jag̚ tɨd̚,['6d7a0e30-f14e-4502-be6f-a87ec5630571'],,{}
karejã däk_0b44949c-3fa9-411c-8692-741072299109,Fieldnotes Epps/Obert 2018,,2018-07-07T18:28:24Z,,karejã däk,phrase,{},,kareʔˈjã dǝk˺,['5e00ef76-a98a-4519-b41f-43937d925e04'],,{}
wareem_0bb01848-edbd-4404-9b11-155bb61f0429,Fieldnotes Epps/Obert 2018,,2018-07-10T23:34:43Z,,wareem,stem,{},,waˈɾe:bm,['09b33e05-02c4-48be-a02b-c4ecfe355f80'],,{}
rewyyh_0bb5289a-e3dd-4da6-8555-1cffdff4c04a,Fieldnotes Epps/Obert 2018,,2018-07-10T12:24:16Z,,rewyyh,stem,{'Note': 'investigate semantics'},,,['7de79006-a9ce-4bea-bb15-623d300d394e'],,{}
hood t’ëe_0cacc161-ee56-462a-8da8-c01ad97228a4,Fieldnotes Epps/Obert 2018,,2018-07-27T22:52:15Z,,hood t’ëe,phrase,{},,,['38ba27d4-a60a-4277-96c5-3949aff74510'],,{}
jook_0d9688b1-2ebf-46c8-b27e-708483cdaf63,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:56Z,,jook,stem,,,jo:k̚,['1f5e557a-ed3c-4d43-adca-28b5e5468ab9'],,{}
