entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,bibliography,other_sources
wao taah_002ca005-1366-4a7b-aff1-ac10db10b768,wao taah,phrase,waʔoʔ ta:h,{},,,['802366cc-fff6-4c35-bff4-a403f4b4130d'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
dahegʹõõn_0062786c-16c2-4325-b3e4-fac26c159e80,dahegʹõõn,stem,dahegõ̰:n,"{'6d128d41-81a3-471c-9d02-f855e642415a': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
dabëëh_01834ee1-a032-4bfb-8827-07f2ace9c99f,dabëëh,stem,dabə:h,"{'af5b17b1-8339-44fa-aace-571fa3b52be2': {'type': '_component-lexeme', 'variant-type': 'Causativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
janooh_022d930d-b619-4a77-8ff4-fa5ea30739e8,janooh,stem,jaˈno:h,{},,{},['9e409799-d500-44e1-97b4-66925497edde'],2018-07-07T20:57:29Z,Fieldnotes Epps/Obert; 2018,
p’aa hẽnh_022f0eb2-2301-40e8-809c-927ccebeff3c,p’aa hẽnh,phrase,paʔaʔ hẽɲ,{},"{'pʹaa hẽnh_988a43b7-7d72-4d87-be1d-c63c761e1dc2': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",,['3954f8c6-283b-4e9f-a9b1-5e9ea6096fcc'],2018-07-15T20:18:56Z,Fieldnotes Epps/Obert; 2018,{'Sil Dict 2011': 'pʹaa hẽnh'}
dajëp_024eb574-aa9a-4bea-adc6-12857406c334,dajëp,stem,daˈjǝp˺,{},,{},['a8675526-039d-459c-b4c8-c3434645200d'],2018-07-10T00:09:23Z,Fieldnotes Epps/Obert; 2018,
nʹoo hẽnh_02548d67-7403-4ae6-be8f-4064def13b13,nʹoo hẽnh,phrase,no̰: hɛ̃ɲ,"{'null': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'null_1': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,{},['ae56a69b-7017-4a32-a8ea-5f87e4558b57'],2018-03-21T21:43:54Z,SIL Dict 2011,
tawarẽẽh1_025c1d2a-ce6b-4f4a-89c6-58f7995ce55a,tawarẽẽh,stem,tawaˈɾẽ:ʔ,{},,{},['edf56ebd-dec5-40c2-8444-09892cd2d358'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,
h’ëëd_025fec92-6af8-4d61-8544-bdb0e0362545,h’ëëd,stem,hǝʔǝd˺,{},"{'hʹëëd2_9e74513c-440f-4e3d-9106-81f0bcd89d90': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'hʹëëd1_a60368d9-bc6d-49b9-aeef-eaa8980142fa': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{},['82d7231c-5f51-4860-90b3-f2da90deba51'],2018-07-11T00:00:38Z,Fiednotes Epps/Obert; 2018,{'Sil Dict 2011': 'hʹëëd'}
atsóm_02a79639-e72e-482a-98fe-e2a3e76d3f81,atsóm,stem,ʔaˈɉ’ɔbm,{},,{},['4bcb3e10-ba0a-4e58-8984-5b1a542a42f6'],2018-07-10T23:19:31Z,Fieldnotes Epps/Obert; 2018,
jeer2_02adeefa-c0e5-4849-95e7-63f3e5494313,jeer,stem,je:ɾᵊ,{},,,['fd9458ea-4516-48d8-9157-9c632b036e29'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
keroo_0309e768-1308-4e05-955c-92fa27bdc0b1,keroo,stem,,{},,{},['1813965a-b95a-4afb-8608-7bea9a3fbed4'],2018-07-27T20:28:41Z,Fieldnotes Epps/Obert; 2018,
naëng_031a7339-0644-4618-af27-88f71d6565db,naëng,stem,naˈʔǝgŋ,{},"{'naʔəŋ1_6a936ca2-4b81-4ef8-9523-96493e28028f': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'água'}, 'naʔəŋ2_53d64a2f-8e76-45e0-912f-3064e781e9fa': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{},"['160c0f30-fdd5-45bb-9b4d-12f03592f4ea', 'da503054-2051-4953-ab79-1f3b7bef531f']",2018-03-08T07:17:53Z,SIL 2011; Fieldnotes Epps/Obert; 2018,{'Barbosa': 'naʔəŋ'}
gajʹeej_0370d9a3-7912-458c-bb70-6097fb5de782,gajʹeej,stem,gajḛ:j,"{'f7801daa-0d39-48f9-9f63-f852c4125e16': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
ahong_037fbb9c-c845-4e3d-9bc3-fe8bbf7c2a5f,ahong,stem,ahoŋ,"{'ahõng_5eceaf57-d989-4dc1-9a1f-72045734eeed': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,{},,2018-03-22T23:19:58Z,SIL Dict 2011,
kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d,kawa,stem,kaˈwaʔ,{},,{},['baa0255c-d216-40c6-9314-c2b8ae598c65'],2018-07-09T13:45:32Z,Fieldnotes Epps/Obert; 2018,
noo keham_0456f9ea-7465-48e4-9c8e-0237e472be1c,noo keham,phrase,nɔ̃:keʔˈhabm,{},,{},['67813880-b0ef-4e72-8cc0-55dda9bf5e6f'],2018-07-10T23:43:22Z,Fieldnotes Epps/Obert; 2018,
asooh_045c762b-0b2e-4233-a013-7e921270d050,asooh,stem,ʔaˈʃo:h,{},"{'sooh_e9c38f60-21ca-4df6-98bc-73b6d002930b': {'type': '_component-lexeme', 'variant-type': 'Weir'}}",{},['49d89e7e-ca3b-4eaf-970c-5112be5fc622'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,{'Weir': 'sooh'}
ety_047db998-72df-46aa-a083-13e0b004ec6c,ety,stem,etɨ,"{'9eb8fb8f-3e49-45aa-a76c-8512171d60e7': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
sét hẽ_04d14da4-0773-43e5-be7b-25fe3fe7100c,sét hẽ,phrase,ʃɛt hẽʔ,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,{},['b76b93ca-1032-4a40-9a95-1031ce3ca8d9'],2018-07-07T17:53:45Z,Fieldnotes Epps/Obert; 2018,
kasarõ_04f383e2-28e7-4ca8-8903-46ecb268dcec,kasarõ,stem,kaʃaɾõ,"{'32a368a7-d87b-441c-bc01-f27a308a8b1a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
mahõg_05dd3abd-6534-4b59-b015-78d391e1d399,mahõg,stem,mahõg,"{'449e256e-85a4-465c-bcf3-571d63f37366': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
madiːk1_060565fa-0504-425e-9477-40abe427e5e6,madiːk,stem,,"{'27196443-08b4-4e3b-82e9-14987c24f524': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; açaí'}}",,,,2018-06-20T05:09:53Z,Barbosa,
karapee _0608a430-217f-4595-8307-b236eef0ae5b,karapee,stem,kaɾaˈpe:ʔ,{},"{'karepé_7c800678-ce5e-401e-abba-a2b95fbbf65c': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",{},['ec6b2a91-b8ab-44f3-8200-648010fa9137'],2018-03-08T07:17:53Z,SIL 2011; Fieldnotes Epps/Obert; 2018,
ehãw_0631abaa-832b-4f9c-a680-67323f0bec57,ehãw,stem,ehãw,"{'524de672-cfcd-498f-ad8a-ff63f63e40a6': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
baad_068ae71c-c922-438c-9569-dad5b2122f74,baad,stem,ba:d˺,{},,{},['783a338a-818d-4a66-9784-aae54e3af35a'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,
taats_06fa1be1-fd07-4e5b-8efb-4684de883e8e,taats,stem,ta:ɟ̚,{},,,['0bcbba71-1078-42e3-b6dc-dc251e2d8e8e'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
asʹëëg_071fd2b5-c8ec-405b-a840-71a0419d0870,asʹëëg,stem,aʃə̰:g,"{'1681b58c-d028-4b6c-af21-833f4abef2ce': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
kakoos yb_07832269-7792-4503-a931-31d64643cc9a,kakoos yb,phrase,kako:ʃ ʔɨb̚,{},,,['4b406dde-abeb-45c4-be61-d326a330ea83'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
gewʹõõw_07c262a4-e950-44ab-ba8d-5b209013a2ee,gewʹõõw,stem,gewõ̰:w,"{'gewõõm_2e184b1f-4cc5-4e46-ae1e-f9ec715f3722': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-27T02:37:10Z,SIL Dict 2011,
pewóp hẽ_083be29b-071a-45ec-bd6b-c4935e1ae87b,pewóp hẽ,phrase,peʔˈwɔp˺,{},,{},['7fbd2f47-c78c-4fd7-9aa5-89ad13550e63'],2018-07-08T18:25:37Z,Fieldnotes Epps/ Obert; 2018,
kawad puuw (tëëg)_083ca43d-56d8-4a51-98c4-4109ef14938b,kawad puuw (tëëg),phrase,kawad̚ pu:w  tə:g̚,{},,,['c72b8439-5d2b-4279-bda9-8034d3430c1b'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
dakä_088d21b3-b72e-422c-baab-2a35b7838500,dakä,stem,dakʌ,"{'339a2390-193b-4e46-b7d9-76429e5bf07d': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
häd_090789e5-38eb-49f0-9832-3449ab6f71a9,häd,stem,hʌd˺,{},,{},['28976492-decb-410a-aac6-75cd5b7073ae'],2018-07-07T17:36:29Z,Fieldnotes Epps/Obert; 2018,
gor’ëëj_09bf004c-752a-4c01-9273-5fad683b954e,gor’ëëj,stem,,{},,{},['71701844-6504-4d95-853e-158eb0eb8caa'],2018-07-27T20:22:56Z,Fieldnotes Epps/Obert; 2018,
madyyk_09e54f3c-410b-415c-8850-75ea270e4552,madyyk,stem,maˈdɨ:k˺,{},"{'madɯːk_a79dbe05-2ba9-47a7-8e82-412e1dcbc089': {'type': '_component-lexeme', 'variant-type': 'Martins'}, 'madiːk2_33d37501-2096-43ca-8bdd-cfcc695acd7c': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{},['9b92b2cb-bb24-4ffd-bb03-3b21acf80bd0'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,"{'Martins': 'madɯːk', 'Barbosa': 'madiːk'}"
aeeh_09e8dc25-0156-4bd0-991f-71b4cf82372a,aeeh,stem,ae:h,"{'e24b937d-f986-4e73-a3bd-5b6b59a0a01a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
kasug_0a6b31fb-6433-4d7b-b051-c162f4767c39,kasug,stem,kaʃug,"{'cb9fef40-4b1b-4ca3-b48f-062d545d3841': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
edón_0a6e9703-c45e-4f5e-a9ca-9cce168f7c6e,edón,stem,edɔn,"{'5fdb3b75-6a14-4dcc-a9ec-2ce227b9a1bf': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
