headword,ipa,entry_id,matches
ʃaɾoːp,ʃaro:p,ʃaɾoːp_0023c0a0-6de7-452a-85b6-0f6e0794014a,"[('saroop', 'saroop_49b0da68-47ae-42c0-ac17-b23a42c0e42e', 1.0)]"
wao taah,wao ta:h,wao taah_002ca005-1366-4a7b-aff1-ac10db10b768,"[(""t'aah"", 't&apos;aah_53b37a98-9c06-4c23-b5d8-447f89451984', 0.9444444444444444), ('tah', 'tah_396fe9f8-b06b-48e2-92a7-4335e87b321c', 0.9285714285714286), ('tʌːh', 'tʌːh_30c25497-a03a-44a1-a1e1-9f49cffe7b53', 0.875), ('tʹaah', 'tʹaah_58825302-35ee-4cc7-ba14-51e09b12f26f', 0.9444444444444444)]"
tame tame,tame tame,tame tame_007e8774-ab6b-4f2a-b53a-64b144453ab0,"[('me', 'me3_55d072cd-437b-41d7-91ee-f93cf6856d86', 1.0), ('me', 'me1_69935547-234c-452b-a397-06c63051952f', 1.0)]"
ʃɤːw,ʃə:w,ʃɤːw_009b3e07-21aa-4c01-aeda-2447f5bc3e94,"[('sëëw', 'sëëw_7c511834-586a-456c-884a-02fda6ccd6aa', 1.0), ('ʃɤːʔ', 'ʃɤːʔ_77981701-bff1-498b-a88b-f2ff0d46a7a2', 0.8571428571428571)]"
naga̰ːd,naga̰:d,naga̰ːd_00bdbea3-65ff-4c88-bb09-064fdb77ec72,"[('kã̰ːd', 'kã̰ːd_0e39e610-eab0-434f-95db-a602eca2041d', 0.8636363636363636), ('nag’aad', 'nag’aad_a2653c1c-526b-4da1-aaeb-c2f393797942', 1.0)]"
du doo,du do:,du doo_00f0ad34-5134-4419-9827-2e04360e87e0,"[('dooh', 'dooh2_f50666b1-7d7e-449a-8205-0cda6a02f920', 0.9285714285714286), ('dooh', 'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4', 0.9285714285714286), ('doo', 'doo2_53082cdc-d65b-4949-9404-3a47fd80f8b5', 1.0), ('doo', 'doo3_b37dc192-f0fc-4fc4-acf9-e4423cdd81e1', 1.0), ('doo', 'doo1_96f3879f-cf4c-469d-ac46-4a89f9d8374d', 1.0), ('doːh', 'doːh1_d9caa3ff-06cc-413b-a9c7-398060ef979c', 0.9285714285714286), ('doo', 'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1', 1.0)]"
ʔawog,awog,ʔawog_00f7b57b-f98c-4687-bea0-9f62e1329d93,"[('wog', 'wog_498db3e4-f431-454a-9be0-f767c01c3ed5', 1.0), ('wog', 'wog_498db3e4-f431-454a-9be0-f767c01c3ed5', 0.8571428571428571)]"
agõng,agõŋ,agõng_0100623e-019f-4443-b775-20ca89bf8c76,"[('gõng', 'gõng_ad75e40d-e34f-4639-8ee4-f2636198b312', 0.8888888888888888), ('gõng', 'gõng_ad75e40d-e34f-4639-8ee4-f2636198b312', 1.0)]"
na,na,na1_0126d0ce-96ed-408a-bd28-66f3a462840f,[]
ʔawɨp,awɨp,ʔawɨp_01681d16-ebbc-4e5a-bea3-69455f2eb76e,"[('awyp', 'awyp_c03f1cde-a2d3-4391-b4fb-7570ba1cd909', 1.0), ('awyp', 'awyp_c03f1cde-a2d3-4391-b4fb-7570ba1cd909', 0.8571428571428571)]"
