entry_id,variants
basooh2_c72d9c5c-d8fc-4c06-9f6d-f9ef9f262f1a,{'basong_061b4156-051a-46d0-8236-0cd083292685': 'denominal?'}
hajʹaa_0e588062-5b1b-40b9-be20-57b3c3c79c71,{'moo hajʹaa_06db6091-79d5-477c-a422-797dfc4e6c9b': 'unknown verbal inflection'}
aju_56ea33aa-145e-4f13-a0ce-5192ec690e52,{'baju_16b9f9ed-0cb5-4df0-b170-cdea3e4efea7': 'unknown verbal inflection?'}
tũːʔ_22152a27-e164-405e-b4b5-f3b9d7f6331d,{'tũũh_1b11b954-a8f9-47e3-8041-e7ad344c4fb6': 'undef'}
jʹeenh_033fa6a4-bc25-446d-8349-5ce48c651c79,{'hajʹeenh_26f01a55-fea3-44d8-a432-919f084afb5f': 'unknown verbal inflection'}
mehëm_28471a19-ef36-4907-a039-ccf0e4bef3d6,{'mehëëm_c39cb70f-124b-4188-9602-3aca227cbe94': 'unknown- also from fieldnotes?'}
kawajad1_f97b2e7e-498c-44ee-bd8b-e78d47d7c9c5,{'kawajad2_36b45174-a9b6-440b-b816-1d552c94f171': 'undef'}
wajats1_3fb72e42-5cf7-4b2d-b65a-71b38ccc0086,{'wajats2_ad8e1685-a540-42c7-a1a6-345f1d62a409': 'Epps/Obert fieldnotes (MAKE HEAD WORD)'}
gasoom2_1c16d365-be77-4968-953b-7db5ca036d79,{'gasoom1_4cbf1e75-3511-49fe-a915-2400ecd03edc': 'same as gasoom - isca?'}
ɾuɲ_c78e3c36-0f7b-4e27-ae42-5391ecaa33b0,{'ɾṵːɲ_4ae8608d-42ec-4b15-b5f6-62cf14285128': 'iterative(?)'}
doo1_96f3879f-cf4c-469d-ac46-4a89f9d8374d,{'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1': ''}
ʔɯm2_56948ee3-6282-4ea9-842f-46e5f2484283,{'ʔɯm1_73d74d6f-08f3-463a-adc3-37a43c4c0786': 'same as hdwrd?'}
jabaruut_97730e1c-4b00-42dd-bf5f-ae67b93de788,{'jabaɾuːt_5bad5a7b-1227-4ba0-aaca-042c0906d02f': 'unfrg'}
sʹoow_6a95cdaa-7d5e-4688-95a3-6ecb4731f4a4,{'s’oow_bd149bf3-7f4c-42b9-901c-045655c034c8': 'FIELDNOTES FORM MAKE INTO HEADWORD'}
bä2_d715fe9e-35d6-4cb9-b7dd-ca28a1e3c7a4,{'bä1_8df25412-204a-46bc-a787-3ef67101e1cd': 'same as hdwrd?'}
tɔ̰̃p_f5d2c6fc-7483-4978-a80f-1a12a7d69426,"{'tɔ̰̃ːp2_9cceec82-ec11-4fd0-9417-c81d9b1b5b71': 'undef, same as hdwrd?'}"
agä2_b43dfe1e-4d9c-44c4-966b-7cdca5ef5b85,{'gä_8c3e9683-efa0-43fd-b2c6-7fb130828ae8': 'SIL 2011. same as hdwrd?'}
warahen2_9f60eea4-12af-4bff-b76f-4b605295b5a8,{'warahen1_d19ed409-f161-40d6-90a9-dede5c019714': 'make into sense variant instd of full variant'}
takod2_a630902b-b26a-4906-870e-2c4c62b001b1,{'takod1_b4a9928d-a6e7-43f6-8956-769d02980cf9': 'SIL 2011- related?'}
biin1_b2e517bb-acfb-4a33-9270-f9596069cab5,{'biin3_e6e5bae8-d2ad-412e-b701-c994681eb9d5': 'Weir- sense variant?'}
gehõk_b5552c55-9b4f-4af3-b075-530fed54518b,{'hɔ̃k_7ee84e60-c92c-46bb-bfdb-1ba24ed847f4': 'undef (prefix)'}
tsëk_af17fc38-6498-4d80-a76e-ee0c115cd3ab,"{'ketsëk_fd6da278-89a5-4bbf-92ab-6535f4c01f91': 'unknown inflection', 'getsëk_a7a832cd-2d78-4d1b-9e52-5a79e3c734ce': 'unknown inflection'}"
