headword,ipa,entry_id,matches
ho̰ːh,ho̰:h,ho̰ːh_44f1f84c-e4df-4217-88eb-ef261c0b564d,"[('hxóóh', 'hxóóh2_b044b02d-9a90-4a89-97f6-6723b314e380', 0.9), ('hʹooh', 'hʹooh_cdd344c3-6d2f-4e37-b2a3-cf9d784437f7', 1.0), ('hʹoo', 'hʹoo2_4113864d-2d85-4f29-909e-f8deb4a55023', 0.9444444444444444), ('hoːh', 'hoːh_a8ed36ac-b900-49b9-9623-69d3aa0f1558', 0.9444444444444444), ('h’ooh', 'h’ooh_c95ea861-4c45-4a1a-8ef3-688bec4eb1f7', 1.0)]"
sóh tyym,ʃɔh tɨ:m,sóh tyym_45cd1a5f-be5c-44f8-8f33-fcb130ed8dbd,"[('tɨɨ', 'tɨɨ_e4e003b3-b87d-4e64-853a-137ee8f53b2f', 0.8571428571428571), ('tɨːw', 'tɨːw_c9ecfce1-ed8a-4335-8793-9b265a3f6bd5', 0.875), ('tyyw', 'tyyw_87e0c426-d593-4ca1-8704-61dc46d5dc73', 0.875), ('ɨɨm', 'ɨɨm_d43b320e-3a28-431e-897d-97757c461f9f', 0.8571428571428571)]"
mawããd bëëh,mawa:̃d bə:h,mawããd bëëh_4621987f-cb9c-49bd-ac91-be605067fc58,"[('bʉʉh', 'bʉʉh_48d9cff6-c6db-4cc8-83db-4adadfe1b13d', 1.0), ('byyh', 'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6', 0.875), ('bëëh', 'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae', 1.0), ('bëëh', 'bëëh1_962a8de8-7f65-4e60-b8a4-c16d27943a32', 1.0), ('baːh', 'baːh_596a8d5b-6bfc-4eab-af6a-25899b14ff12', 0.875)]"
sawyk,ʃawɨk,sawyk_4639249a-4c4d-48ec-92ad-2cda852204b8,"[('ʃawɯk', 'ʃawɯk_687394cd-d7e8-4953-99e3-6c1caa551f59', 1.0), ('wɨk', 'wɨk_ae9733f8-5392-4f65-9a45-e0b93ea9affd', 1.0)]"
akëë,akə:,akëë_46f2c675-ccd1-4908-8693-cea8ae7dc035,"[('ekëë', 'ekëë_94c4c70f-1fb6-4aed-bb53-f7bfc3022767', 0.8571428571428571), ('dakëë', 'dakëë_72943245-797e-4342-b159-2272bb0b1243', 0.8888888888888888), ('kxʉʉ', 'kxʉʉ_83036f6e-eb27-4866-9e07-b59e2136ce94', 0.9285714285714286), ('k’ëë', 'k’ëë_33265ec6-c2f0-40d5-a1eb-edc43610b9ea', 0.9285714285714286)]"
ʔək,ək,ʔək_4736ff14-7951-4702-8420-4b761777ed50,"[('ëk', 'ëk_ddd21a10-4d81-464a-a237-cf3195a8f0c5', 1.0)]"
ʔajɯːʔ,ajɨ:,ʔajɯːʔ_479ecbff-3f1d-44fc-907e-91ca5906164b,"[('ajʹyy', 'ajʹyy_ece00d00-4ed6-47ba-9536-ac3be8cafafe', 0.9444444444444444)]"
kanapiih,kanapi:h,kanapiih1_47fe5b8e-3eb3-4166-9d21-9e255bfeb45d,"[('kanapiih', 'kanapiih2_bd918020-46ec-4386-951e-fac4fbba4784', 1.0)]"
ji hewoonh,ji hewo:ɲ,ji hewoonh_4854a607-ca5c-4691-85c2-15ce76dd6da1,"[('hewoonh', 'hewoonh_397db076-cf3b-4301-9885-681cbbd2ec19', 1.0)]"
pʹyym,pɨ̰:m,pʹyym_48a754db-ea05-4440-bcad-eec33e19477e,"[('p’yym', 'p’yym1_c58f3f30-b24e-49b3-89c7-a8dbbcc5fc5b', 1.0), ('p’yym', 'p’yym2_53980f41-3bde-459e-b49d-347aab65296a', 1.0)]"
bʉʉh,bə:h,bʉʉh_48d9cff6-c6db-4cc8-83db-4adadfe1b13d,"[('bëëh', 'bëëh1_962a8de8-7f65-4e60-b8a4-c16d27943a32', 1.0), ('byyh', 'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6', 0.875), ('bëëh', 'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae', 1.0), ('baːh', 'baːh_596a8d5b-6bfc-4eab-af6a-25899b14ff12', 0.875)]"
