 gasoom, k'aʃo:bm
betxëëh,betə̰:h
sagõõh yb  pai de,ʃaʔkõ:h ʔɨb̚  paʔiʔ deʔ
sëëj,ʃə:j
daar  karaweng weng  tsiw  tipos ,da:ɾᵊ  kaɾawegŋ wegŋ  tʃ'iw  tipoʃ 
dén kadiib  maior  no,dɛdn kadi:b̚  mãʔiʔoɾᵊ  nõʔ
tawarẽẽh,tawaɾẽ:h
riw,ɾiw
kewan txëëh,kewadn tə̰:h
karahon boj   saramah  ,kaɾahodn boj   ʃaɾabmãh  
gyyj,k'ɨ:j
kamara,kabmãɾaʔ
gawarxëëb gawarxyyb medio   majakég gamatsih da,k'awaɾə̰:b̚ k'awaɾɨ̰:b̚ mẽdiʔoʔ   mãjakɛg̚ k'abmãɟih daʔ
atëëd,ʔatə:d̚
waroor,waɾo:ɾᵊ
sanajoo,ʃadnãjo:ʔ
awad,ʔawad̚
wajats,wajaɟ̚
matatoor,mãtato:ɾᵊ
samỹỹj,ʃabmɨ̃̃:̃j
jawxëëj,jawə̰:j
hëëw hyyw,hə:w hɨ:w
jawxëëj yb,jawə̰:j ʔɨb̚
tsawaaj,tʃ'awa:j
ajxoog,ʔajo̰:g̚
mukejar  bakuuj,mũkejaɾᵊ  baku:j
jamog,jabmõg̚
tooh,to:h
kakoos yb,kako:ʃ ʔɨb̚
kabë,kabəʔ
bahe,baheʔ
kajamaah,kajabmã:h
mabëng,mãbəgŋ
depaa,depa:ʔ
bahõd  rato,bahõd̚  ɾatoʔ
gawxëëng,k'awə̰:gŋ
tarog,taɾog̚
txëëng,tə̰:gŋ
kawajad,kawajad̚
kawaar  kawajad yb,kawa:ɾᵊ  kawajad̚ ʔɨb̚
jeer,je:ɾᵊ
kane,kadnẽʔ
kaan,ka:dn
pxyym,pɨ̰:bm
kajero,kajeɾoʔ
sasõm,ʃaʃõm
rimaw,ɾibmãw
mapah,mãpah
kawatäg,kawatʌg̚
kamak,kabmãk̚
takod,takod̚
hxëëw hxyyw,hə̰:w hɨ̰:w
barajaa,baɾaja:ʔ
maseer,mãʃe:ɾᵊ
jeer  puuw,je:ɾᵊ  pu:w
kamaan,kabmã:n
manee do mato ,mãnẽ:ʔ doʔ mãtoʔ 
pxooh,po̰:h
bato,batoʔ
kawad puuw,kawad̚ pu:w
kawad puuw  tëëg ,kawad̚ pu:w  tə:g̚ 
arijap,ʔaɾijap̚
janati,jadnãtiʔ
