entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
jawäk_11b99d8c-9b68-4e6b-869d-e3530425e72b,Epps/Obert Fieldnotes 2018,2018-09-04T00:12:46Z,2020-01-08T15:52:38Z,jawäk %OR%,root,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},jaˈwʌk˺,"[{'pos': 'Noun', 'gloss': {'en': 'japurá', 'pt': 'japurá'}, 'def': {'en': 'japurá', 'pt': 'japurá'}, 'reverse': ""{'pt': 'japurá', 'en': 'japurá'}"", 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
janati_1bd7a005-8171-46fd-a65d-69898076947f,Epps/Obert Fieldnotes 2018,2018-09-03T23:46:33Z,2020-01-11T16:31:10Z,janati,root,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},janaˈtiʔ,"[{'pos': 'Noun', 'gloss': {'en': 'maize', 'pt': 'milho'}, 'def': {'en': 'maize', 'pt': 'milho'}, 'reverse': ""{'pt': 'milho', 'en': 'maize'}"", 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
gawajaah3_473237ec-7ec5-4fc0-88e7-d5033497445e,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,gawajaah,stem,,"{'Sil Dict 2011': 'gawajaah', 'SIL Dict 2011': 'Não indicativo: gawaja(h)'}",k'awaja:h,"[{'pos': 'Verb', 'gloss': {'en': 'hunt', 'pt': 'caçar'}, 'def': {'en': 'hunt', 'pt': 'caçar'}, 'reverse': '', 'note': '', 'these_vars': ''}]",,{}
,,,,,,,,,,,
kanés g’aad_2ee0c600-0fc1-45ee-803e-4332e97219c8,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,kanés g’aad,phrase,,,kadnɛ̃ʃ k'aʔad̚,"[{'pos': 'Noun', 'gloss': {'en': 'roof.thatch.palm', 'pt': 'caraná'}, 'def': {'en': 'palm for roof thatch', 'pt': 'caraná'}, 'reverse': '', 'note': '', 'these_vars': ''}]",,{}
,,,,,,,,,,,
w’oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2,Fieldnotes Epps/Obert; 2018,2018-07-27T20:27:33Z,,w’oor,stem,{},"{'Martins': 'wo̰ːɾ', 'Barbosa': 'wo̰ːɾ'}",woʔoɾ,"[{'pos': 'Noun', 'gloss': {'en': 'owl', 'pt': 'coruja'}, 'def': {'en': 'owl', 'pt': 'coruja'}, 'reverse': '', 'note': '', 'these_vars': ''}]",,{}
,,,,,,,,,,,
k’ããts_3a94f9ae-6b60-4f40-8241-3d12b67a67be,Fieldnotes Epps/Obert; 2018,2018-07-05T13:48:16Z,,k’ããts,stem,{},{'Martins': 'ga̰ɟ'},kãʔãɉ,"['80053013-c657-44d3-8d22-0da572795c66', '5a92a4b9-5c68-4cbb-8d09-4b2115434816'] -ask Karol (areia is from Martins)","{'k’ããts tsyg_8ac18045-bd45-4c72-b53f-1a45c1a34510': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Compound'}}",{}
,,,,,,,,,,,
t’õõm_3cdcf804-ed94-4d32-8388-d8ed3cf4b239,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,t’õõm,stem,,"{'Weir': 'txõom', 'Martins': 'tɔ̰̃ːm'}",tɔ̃ʔɔ̃m,"['5da179b1-99a9-4303-8ff3-6f45db72be24', '0c9151e6-67ef-4aa8-8e85-5af7ee07ee77'] (panacu more recent, both from fieldnotes)","{'txõom_65668337-e2b9-496c-80a9-264d9e8e24a1': {'type': '_component-lexeme', 'variant-type': 'Weir'}}",{}
,,,,,,,,,,,
