entry_id,matches
kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d,"{'awa_81084abe-5872-41b3-bb65-8b687a3b00a1': ('awa', 0.8571428571428571)}"
asooh_045c762b-0b2e-4233-a013-7e921270d050,"{'baʃo:h_c72d9c5c-d8fc-4c06-9f6df9ef9f262f1b': ('baʃo:h', 0.9090909090909091)}"
karapee _0608a430-217f-4595-8307-b236eef0ae5b,"{'karasee2_430d97ec-8027-4c94-a20c-9abe0c446010': ('karasee', 0.8571428571428571)}"
madyyk_09e54f3c-410b-415c-8850-75ea270e4552,"{'adɨ:k_a8313ccc-413c-4657-b4ef14f1259891a4': ('adyyk', 0.9090909090909091), 'badɨ:k_ec4b457c-f57d-40da-9afc1a28497674a1': ('badɨ:k', 0.9166666666666666)}"
jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b,"{'jawyk_4e1f40a1-8c39-45c3-86b9-92a152d8e952': ('jawyk', 0.9), 'jawäk_11b99d8c-9b68-4e6b-869d-e3530425e72b': ('jawäk', 0.9)}"
ëër_139ca9bb-450f-4124-8497-3fa5f304fa62,"{'ër_139ca9bb-450f-4124-8497-3fa5f304fa62': ('ër', 0.9)}"
etsoos_16359e87-c88a-48ca-b5dd-a04ea7d5f6cd,"{'eʃo:ʃ_add3968e-1af1-48bc-8f565f24adf3025f': ('eʃo:ʃ', 0.9)}"
baju_16b9f9ed-0cb5-4df0-b170-cdea3e4efea7,"{'aju_56ea33aa-145e-4f13-a0ce-5192ec690e52': ('aju', 0.8571428571428571)}"
kawahed_1a647402-4fd7-4f16-8bad-34b44a6e41fa,"{'kawed_401e72f5-e1dc-4968-bc4b-e9fc98db9a07': ('kawed', 0.875)}"
janati1_1bd7a005-8171-46fd-a65d-69898076947f,"{'janati2_44596d86-91ab-40aa-bd2d-c32eead8c0bf': ('janati', 1.0), 'janati_1bd7a005-8171-46fd-a65d-69898076947f': ('janati', 1.0)}"
kawaar_1caf872b-78e3-4ad8-a6f2-fbba04c0f76b,"{'awaar_7941eab2-6521-4894-ab06-a769c7e59eba': ('awaar', 0.9090909090909091)}"
yyh_1dc877e3-ce0f-43ad-817b-0844fa5ccca8,"{'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6': ('byyh', 0.8571428571428571), 'hɨ:h_4a6af09e-19e4-45b8-8276edcd7b1ff9': ('hɨ:h', 0.8571428571428571), 'ɨh_75c83f39-6f85-4520-ac431d873a3fc10': ('ɨh', 0.9), 'ɨ̃:h_b5117bd5-2007-42dc-8931e60f4bb08b71': ('ɨ̃:h', 0.9285714285714286), 'kyyh_abaed6a6-acab-4bad-9909-83f48cf3c884': ('kyyh', 0.8571428571428571)}"
jarakë2_2374aefe-208a-41a4-82e8-0828d5d0a65f,"{'jara:k_67892484-cc37-4642-b7d8f72b736f6255': ('jara:k', 0.875)}"
soog_249fa31d-fe1c-46ef-a586-8da434b2d806,"{'ʃo:_8d4ce206-887a-448d-a7db8239d7cbecd0': ('soo', 0.8571428571428571), 'sog_80913b3d-28ba-4da4-8c82-93874db73850': ('sog', 0.9285714285714286)}"
kamaan1_258400ae-3889-4708-a9d9-74aa043e8bbd,"{'kawã:n_b2161ae4-e32b-4e83-b30865961453d022': ('kawã:n', 0.8846153846153846)}"
juum_288ff678-6dc5-4fc1-961d-0886a4bc84a4,"{'jo:m_eb5c00b0-2af8-40ce-b71faab109532ced': ('jo:m', 0.875)}"
h’yyw_2ad3994d-6998-48ff-ad86-411a9a67558b,"{'hə̰:w_1925e868-c252-4c83-b71133d6d98f1f6a': ('hə̰:w', 0.9), 'hḭ̃:w_1b5889d9-62f6-4a22-b429fbaee69d90ce': ('hḭ̃:w', 0.8636363636363636), 'hɨ̰̃:w_d2f0e9be-4c7f-41dc-960b912373df7380': ('hɨ̰̃:w', 0.9545454545454546)}"
h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49,"{'hɨ̰̃:b_13495014-5582-4f05-84fc3cb0ed8b0ed3': ('hɨ̰̃:b', 0.8636363636363636)}"
mä_2fbb0d64-ddd8-486d-a94a-5e6d3a1db9fc,"{'mäh_63073248-c558-4fc1-8f4c-63527c9e11c7': ('mäh', 0.9)}"
papỹỹj_3194bd97-3568-41d3-ad94-fa7e9d5d6930,"{'kapɨ̃:j_c53cf0e0-0078-4164-94672f4e98268e6e': ('kapỹỹj', 0.8571428571428571)}"
sẽẽj2_31d20726-ce1f-4f98-a01d-4dabbd5a7721,"{'sẽẽ_4a265a7c-06dc-406e-acbf-361618b09a42': ('sẽẽ', 0.8888888888888888)}"
õm_31f249cf-2b84-428d-8cd9-657c8d35e6f4,"{'dõm_821df784-fbcb-40de-a505-a26f965d09ed': ('dõm', 0.8571428571428571), 'tõm_9c34cae8-d703-4bd1-b57d-7a96c6a5281a': ('tõm', 0.8571428571428571)}"
wäng_32c1318b-5ca9-4b72-a7b9-e465bcd32c3a,"{'awäng_bf428c83-f99e-46c5-9eda-3733b60a7d09': ('awäng', 0.8571428571428571)}"
w’oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2,"{'wo:r_987658fd-862d-4798-a95c5b4a299259c6': ('wo:r', 0.9444444444444444), 'w&apos;oo_a56a5c20-7c47-4248-b98b-44682b0b31f4': (""w'oo"", 0.8888888888888888), 'w&apos;oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2': (""w'oor"", 1.0)}"
kawajad2_36b45174-a9b6-440b-b816-1d552c94f171,"{'kawajããn_afa28d54-abe7-4f7e-8f88-3198bb0aa7ca': ('kawajããn', 0.875)}"
sapuuw_37867b30-19ec-4639-8a17-3aa7b67aeaee,"{'sapuu_aca80f49-f37b-4756-a63b-f87397345f3a': ('sapuu', 0.9090909090909091)}"
booj_3c9337be-a478-493e-bed4-c0f035f02c63,"{'ooj_abc3063b-7d75-430c-9300-005e926c6475': ('ooj', 0.8571428571428571), 'bu:j_54613d00-08ea-44ed-b99659610ba3cac7': ('bu:j', 0.875), 'boj_c23a0ba2-7d0a-4ada-838e7864cf0a7b9d': ('boj', 0.9285714285714286)}"
t’õõm_3cdcf804-ed94-4d32-8388-d8ed3cf4b239,"{'tɔ̰̃:m_d95571f5-ea34-4361-bbc3460b2723ced7': ('tɔ̰̃:m', 0.9166666666666666), 't&apos;õõm_6945fd07-f2f1-4af1-a00a-c25ab150e2a3': (""t'õõm"", 1.0), 'tõm_9c34cae8-d703-4bd1-b57d-7a96c6a5281a': ('tõm', 0.9)}"
dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4,"{'tooh_6043f2b6-842d-49d1-9764-2fd9ab21b3ba': ('tooh', 0.875), 'nooh_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': ('nooh', 0.875), 'du:h_1c1e2650-1809-4f40-a14833b3a9902630': ('du:h', 0.875), 'do:_53082cdc-d65b-4949-94043a47fd80f8b6': ('do:', 0.9285714285714286), 'do:_8f96a134-db02-4580-a0d5599f0a181e2': ('do:', 0.9285714285714286), 'do:_b37dc192-f0fc-4fc4-acf9e4423cdd81e2': ('do:', 0.9285714285714286)}"
aw’yy_3e061932-3d4a-46c8-9c3e-0879bbb207aa,"{'awɨ̰:t_28c22592-67e2-46c3-98ea6d35223f641a': ('awɨ̰:t', 0.9090909090909091)}"
atsëm_3e48f310-3d32-4d81-9074-b841d0ae6f78,"{'asëm_dc855a5e-e265-4869-9faa-8947234d666a': ('asëm', 0.875)}"
maỹỹn_3ee29e3d-5352-4c3b-adf8-d17f0fcc0206,"{'mahĩĩn_b3b9947d-577e-4f2f-85f6-6f3a3f49c1ef': ('mahĩĩn', 0.8846153846153846)}"
maëts_401e55d0-b859-4ce4-b1bc-350692fd76a2,"{'ma&apos;ëëts_401e55d0-b859-4ce4-b1bc-350692fd76a2': (""ma'ëëts"", 0.9)}"
kawed_401e72f5-e1dc-4968-bc4b-e9fc98db9a07,"{'kawahed_1a647402-4fd7-4f16-8bad-34b44a6e41fa': ('kawahed', 0.875)}"
ji moo sahõnh hẽ_41b7a6c4-69cb-4c16-82d9-1dbd63a69c12,"{'ji tsyym sahõnh hẽ_aeffdfca-557a-4b2e-84d8-63802e1f73f5': ('ji tsyym sahõnh hẽ', 0.8857142857142857)}"
