entry_id,matches,def
atsóm_02a79639-e72e-482a-98fe-e2a3e76d3f81,"{'acõb_f71894c0-8fab-4c50-85f140d22a323e73': ('acõb', 'ura/berno')}",swim;nadar
naëng_031a7339-0644-4618-af27-88f71d6565db,"{'nahə:h_b54a9153-964b-464c-a3e572767ea0d316': ('nahə:h', 'doença')}",water;água
asooh_045c762b-0b2e-4233-a013-7e921270d050,"{'aʃu:_844f59f2-271d-44ac-98c625f13b1b75d0': ('aʃu:', 'costurar')}",sit;sentar
baad_068ae71c-c922-438c-9569-dad5b2122f74,"{'pëëd_575e234e-0e14-44a8-a947-b90d4f165f7b': ('pëëd', '?;cunuri'), 'pa:n_e4920278-36b2-4b6c-b2669c72f3055ccf': ('pa:n', 'igual')}",well;bem
madyyk_09e54f3c-410b-415c-8850-75ea270e4552,"{'badɨ:k_ec4b457c-f57d-40da-9afc1a28497674a1': ('badɨ:k', 'socar terra')}",açaí.palm;açaí
toog2_0f2dbd4f-1cba-4a76-b278-c720efdc0c0f,"{'tug_6c751529-23ec-405f-bec2ac9a1cd2a827': ('tug', 'tarde')}",daughter;filha
jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b,"{'jawyk_4e1f40a1-8c39-45c3-86b9-92a152d8e952': ('jawyk', 'heavy;pesado'), 'jawäk_11b99d8c-9b68-4e6b-869d-e3530425e72b': ('jawäk', 'japurá;japurá')}",japurá;japurá
wawët_135af2d2-bd6b-445c-a1ed-837cb137c40d,"{'mawyyt_5f74d4a3-54da-44ba-8ba4-d5ab20a32d82': ('mawyyt', 'tie.up.wood.with.cipó;amarrar.pau.com.cipó')}",wild.dog;cachorro.do.mato
ëër_139ca9bb-450f-4124-8497-3fa5f304fa62,"{'ër_139ca9bb-450f-4124-8497-3fa5f304fa62': ('ër', '1PLincl;1PLincl')}",1PLincl;1PLincl
masug_14f4dbd3-bbac-4f9e-b5f5-3da0f0b5daa1,"{'masook2_bad07ccf-c8ca-47a3-b227-48abab0ed633': ('masook', 'manioc.meal;farinha'), 'baʃoŋ_061b4156-051a-46d0-8236cd083292686': ('baʃoŋ', 'ter.cheiro')}",fishing.stick;vara.pesca
etsoos_16359e87-c88a-48ca-b5dd-a04ea7d5f6cd,"{'eʃo:ʃ_add3968e-1af1-48bc-8f565f24adf3025f': ('eʃo:ʃ', 'procurar')}",spit;cuspir
awän_16edbafa-9f23-4587-bd92-330bd1726f90,"{'awad3_62a55d3c-fa39-4a7a-8dbf-01f9b2c196bd': ('awad', 'jaguar;onca')}",waterfall;cachoeira
etsʹëëk_1975647d-1f5d-470e-93b1-509b4f0e1773,"{'eʃa̰:k_5f8affce-0fec-4b50-95aec2f3a8c3ad74': ('eʃa̰:k', 'pescar.com.rede')}",steal;roubar
jood_1a844f70-b0d5-4165-b568-d695b8a70f0a,"{'jóón_45d960e0-b762-437d-bca3-d9c02c5339c6': ('jóón', 'cuati;cuati')}",anaconda;sucuri
