form,match_form,def,match_def,status,entry_id,match_id
atsóm,acõb,swim;nadar,ura/berno,ignore,atsóm_02a79639-e72e-482a-98fe-e2a3e76d3f81,acõb_f71894c0-8fab-4c50-85f140d22a323e73
naëng,nahə:h,water;água,doença,ignore,naëng_031a7339-0644-4618-af27-88f71d6565db,nahə:h_b54a9153-964b-464c-a3e572767ea0d316
asooh,aʃu:,sit;sentar,costurar,ignore,asooh_045c762b-0b2e-4233-a013-7e921270d050,aʃu:_844f59f2-271d-44ac-98c625f13b1b75d0
baad,pëëd,well;bem,?;cunuri,ignore,baad_068ae71c-c922-438c-9569-dad5b2122f74,pëëd_575e234e-0e14-44a8-a947-b90d4f165f7b
baad,pa:n,well;bem,igual,ignore,baad_068ae71c-c922-438c-9569-dad5b2122f74,pa:n_e4920278-36b2-4b6c-b2669c72f3055ccf
madyyk,badɨ:k,açaí.palm;açaí,socar terra,ignore,madyyk_09e54f3c-410b-415c-8850-75ea270e4552,badɨ:k_ec4b457c-f57d-40da-9afc1a28497674a1
toog,tug,daughter;filha,tarde,ignore,toog2_0f2dbd4f-1cba-4a76-b278-c720efdc0c0f,tug_6c751529-23ec-405f-bec2ac9a1cd2a827
jawëk,jawyk,japurá;japurá,heavy;pesado,ignore,jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b,jawyk_4e1f40a1-8c39-45c3-86b9-92a152d8e952
jawëk,jawäk,japurá;japurá,japurá;japurá,merge,jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b,jawäk_11b99d8c-9b68-4e6b-869d-e3530425e72b
wawët,mawyyt,wild.dog;cachorro.do.mato,tie.up.wood.with.cipó;amarrar.pau.com.cipó,ignore,wawët_135af2d2-bd6b-445c-a1ed-837cb137c40d,mawyyt_5f74d4a3-54da-44ba-8ba4-d5ab20a32d82
ëër,ër,1PLincl;1PLincl,1PLincl;1PLincl,"make short default, long unspec. Variant",ëër_139ca9bb-450f-4124-8497-3fa5f304fa62,ër_139ca9bb-450f-4124-8497-3fa5f304fa62
masug,masook,fishing.stick;vara.pesca,manioc.meal;farinha,ignore,masug_14f4dbd3-bbac-4f9e-b5f5-3da0f0b5daa1,masook2_bad07ccf-c8ca-47a3-b227-48abab0ed633
masug,baʃoŋ,fishing.stick;vara.pesca,ter.cheiro,ignore,masug_14f4dbd3-bbac-4f9e-b5f5-3da0f0b5daa1,baʃoŋ_061b4156-051a-46d0-8236cd083292686
etsoos,eʃo:ʃ,spit;cuspir,procurar,ignore,etsoos_16359e87-c88a-48ca-b5dd-a04ea7d5f6cd,eʃo:ʃ_add3968e-1af1-48bc-8f565f24adf3025f
awän,awad,waterfall;cachoeira,jaguar;onca,ignore,awän_16edbafa-9f23-4587-bd92-330bd1726f90,awad3_62a55d3c-fa39-4a7a-8dbf-01f9b2c196bd
etsʹëëk,eʃa̰:k,steal;roubar,pescar.com.rede,ignore,etsʹëëk_1975647d-1f5d-470e-93b1-509b4f0e1773,eʃa̰:k_5f8affce-0fec-4b50-95aec2f3a8c3ad74
jood,jóón,anaconda;sucuri,cuati;cuati,ignore,jood_1a844f70-b0d5-4165-b568-d695b8a70f0a,jóón_45d960e0-b762-437d-bca3-d9c02c5339c6
janati,janati,maize;milho,maize;milho,merge,janati1_1bd7a005-8171-46fd-a65d-69898076947f,janati2_44596d86-91ab-40aa-bd2d-c32eead8c0bf
janati,janati,maize;milho,maize;milho,merge,janati1_1bd7a005-8171-46fd-a65d-69898076947f,janati_1bd7a005-8171-46fd-a65d-69898076947f
gawajah,gawajaah,,hunt;caçar,merge,gawajah_1c43c5f6-18af-437e-90c9-8506069bb3d1,gawajaah3_473237ec-7ec5-4fc0-88e7-d5033497445e
gawajah,gawaja:h,,correr.atrás.de.caça,merge,gawajah_1c43c5f6-18af-437e-90c9-8506069bb3d1,gawaja:h_a2ce689e-bdf8-4a72-86b52372cff080e9
naam,da:b,louse;piolho,fazer rede,ignore,naam_1c6836f3-ad20-47d5-bcce-190b8102d9ed,da:b_6c6f913f-603e-4dd7-99d1c9122d333284
yb,ỹỹm,father;pai,wife;esposa,ignore,yb2_1cc95316-b9fe-4093-9b14-e9c016496d4a,ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb
yb,ɨm,father;pai,ficar,ignore,yb2_1cc95316-b9fe-4093-9b14-e9c016496d4a,ɨm_73d74d6f-08f3-463a-adc337a43c4c0787
yb,ɨ̃:m,father;pai,fear;ter.medo,ignore,yb2_1cc95316-b9fe-4093-9b14-e9c016496d4a,ɨ̃:m_b7f8608c-1aaa-4014-b04d968cde2f7f88
yb,ỹỹm,father;pai,esposa,ignore,yb2_1cc95316-b9fe-4093-9b14-e9c016496d4a,ỹỹm1_c5454b3c-10c6-4bf4-936d-38c30dd989de
yyh,ỹ,fire.ant;formiga.de.fogo,,ignore,yyh_1dc877e3-ce0f-43ad-817b-0844fa5ccca8,ỹ_acdb0c0b-2c0f-454f-91d1-eea4498bebf7
yyh,ɨh,fire.ant;formiga.de.fogo,sleep n.i.,ignore,yyh_1dc877e3-ce0f-43ad-817b-0844fa5ccca8,ɨh_75c83f39-6f85-4520-ac431d873a3fc10
yyh,ỹỹ,fire.ant;formiga.de.fogo,1sg;1sg,ignore,yyh_1dc877e3-ce0f-43ad-817b-0844fa5ccca8,ỹỹ_b5117bd5-2007-42dc-8931e60f4bb08b71
bʹaah,bëëh,tree;árvore,2PL;2PL,ignore,bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d,bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae
bʹaah,pa:h,tree;árvore,passado,ignore,bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d,pa:h_5d6b8726-aa64-4b93-9329884a1e4b1af9
bʹaah,bə:h,tree;árvore,suco,ignore,bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d,bə:h_962a8de8-7f65-4e60-b8a4c16d27943a33
bʹaah,pã̰:,tree;árvore,devido,ignore,bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d,pã̰:_9fab38fa-5fc0-4ee4-b82ec53f098b21ad
bʹaah,bëëh,tree;árvore,suco,ignore,bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d,bëëh_962a8de8-7f65-4e60-b8a4-c16d27943a32
bʹaah,bëh,tree;árvore,2PL;2PL,ignore,bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d,bëh_59d8bf5a-dd20-44e8-b7a9-5081bab044ae
soog,cug,feather.headdress;cangatara,espécie de planta,ignore,soog_249fa31d-fe1c-46ef-a586-8da434b2d806,cug_96302045-3340-4193-98f54d19048d0d49
soog,co̰:g,feather.headdress;cangatara,cipó.sp,ignore,soog_249fa31d-fe1c-46ef-a586-8da434b2d806,co̰:g_9e1ed034-5c26-4a40-a9ed6952de801cd3
soog,sog,feather.headdress;cangatara,niece;sobrinha,ignore,soog_249fa31d-fe1c-46ef-a586-8da434b2d806,sog_80913b3d-28ba-4da4-8c82-93874db73850
kamaan,kawã:n,beans;feijão,aracu,ignore,kamaan1_258400ae-3889-4708-a9d9-74aa043e8bbd,kawã:n_b2161ae4-e32b-4e83-b30865961453d022
juum,jo:m,vine;cipó,plantação; planta,ignore,juum_288ff678-6dc5-4fc1-961d-0886a4bc84a4,jo:m_eb5c00b0-2af8-40ce-b71faab109532ced
