entry_id,status,matches
edʹuuk_1613de5c-4b41-4bc5-bfa4-7a967ead6a11,delete one,"{'eduug_a29d5713-9f30-4d79-81a8-adc977ac1a6f': ('eduug', 0.8636363636363636), 'edṵ:k_1613de5c-4b41-4bc5-bfa47a967ead6a12': ('edṵ:k', 1.0)}"
erét_2370f1d5-42bf-477a-bec0-cc27bf202068,delete one,"{'eréd_e2d456f2-b58b-42af-8dfb-538033b5131b': ('eréd', 0.875), 'erɛt_2370f1d5-42bf-477a-bec0cc27bf202069': ('erɛt', 1.0)}"
tsananaa_248cffb7-d6e2-42f6-b09c-eee72262937b,delete from clean,"{'canana:_248cffb7-d6e2-42f6-b09ceee72262937c': ('canana:', 1.0)}"
waa1_36bdcbb1-66cb-47fc-a7ce-1204359c2a61,delete one,"{'wa:_36bdcbb1-66cb-47fc-a7ce1204359c2a62': ('wa:', 1.0)}"
naga hẽ_3980fa65-cfdf-4ed7-8a6b-2b965258d604,delete one,"{'naga hẽ_3980fa65-cfdf-4ed7-8a6b2b965258d605': ('naga hẽ', 1.0)}"
asok_3b09d234-1d9d-43fa-8d85-1600b775eff2,delete from clean,"{'asog_87882610-dbd6-4886-8420-10e5264fbfd6': ('asog', 0.875), 'aʃok_3b09d234-1d9d-43fa-8d851600b775eff3': ('aʃok', 1.0)}"
nuu me_5921bae6-4777-4444-be41-a1db8d4ba21d,delete from clean,"{'nu: me_5921bae6-4777-4444-be41a1db8d4ba21e': ('nu: me', 1.0)}"
ji_5c846915-d6fc-437b-8c7d-67cffc4f1362,delete from clean,"{'ji_5c846915-d6fc-437b-8c7d67cffc4f1363': ('ji', 1.0), 'ji_7cc7a2a6-10ab-4e17-93022227fac559da': ('ji', 1.0)}"
tä_5ea024ce-8d5b-461c-ae96-97daffe5dbb0,delete from clean,"{'tʌ_5ea024ce-8d5b-461c-ae9697daffe5dbb1': ('tʌ', 1.0)}"
mäh_63073248-c558-4fc1-8f4c-63527c9e11c7,delete from clean,"{'mä_2fbb0d64-ddd8-486d-a94a-5e6d3a1db9fc': ('mä', 0.9)}"
hẽnh_63c8102a-b241-4712-a838-70b21b5a086e,delete from clean,"{'hẽɲ_63c8102a-b241-4712-a83870b21b5a086f': ('hẽɲ', 1.0)}"
ra_691deaf6-11ec-4636-828c-82636a8e4eac,delete from clean,"{'ra_691deaf6-11ec-4636-828c82636a8e4ead': ('ra', 1.0)}"
wapad_6d1f39e4-a447-4cba-b3ff-b4b8f1eed9ae,delete from clean,"{'wapad_6d1f39e4-a447-4cba-b3ffb4b8f1eed9af': ('wapad', 1.0)}"
mahang_6da7140a-20bc-4055-a9dd-9fe336967a74,delete from clean,"{'mahaŋ_6da7140a-20bc-4055-a9dd9fe336967a75': ('mahaŋ', 1.0)}"
takʹëp_713254c9-c9a3-408e-89d8-f85183abb1e8,delete from clean,"{'takə̰p_713254c9-c9a3-408e-89d8f85183abb1e9': ('takə̰p', 1.0)}"
aha_7b0d5ed4-7e8a-427a-a07d-90a64f3094db,delete from one,"{'ahaa_686c862e-f8bb-4b61-8c2d-d07f36bd5a6a': ('ahaa', 0.9285714285714286), 'aha_7b0d5ed4-7e8a-427a-a07d90a64f3094dc': ('aha', 1.0)}"
naëënh_8604bf25-763e-4f74-9f62-1229dc8c1305,delete from clean,"{'naə:ɲ_8604bf25-763e-4f74-9f621229dc8c1306': ('naə:ɲ', 1.0)}"
né hẽ_8b6c97f9-bff4-4755-a9b1-3d71dbc9938e,delete from clean,"{'nɛ hẽ_8b6c97f9-bff4-4755-a9b13d71dbc9938f': ('nɛ hẽ', 1.0)}"
hadoo_91228118-6e36-4bb1-8876-c6ca8cf2491d,delete from clean,"{'hado:_91228118-6e36-4bb1-8876c6ca8cf2491e': ('hado:', 1.0)}"
sa_9258a56c-b681-4637-922d-c15c3cc4d777,delete from clean,"{'ʃa_9258a56c-b681-4637-922dc15c3cc4d778': ('ʃa', 1.0)}"
adyyk_a8313ccc-413c-4657-b4ef-14f1259891a3,delete from clean,"{'adɨ:k_a8313ccc-413c-4657-b4ef14f1259891a4': ('adɨ:k', 1.0)}"
is_aabbc7a1-8b5c-4a46-a8f8-348d31b31613,delete from clean,"{'iʃ_aabbc7a1-8b5c-4a46-a8f8348d31b31614': ('iʃ', 1.0)}"
kyyh_abaed6a6-acab-4bad-9909-83f48cf3c884,delete from clean,{}
biin1_b2e517bb-acfb-4a33-9270-f9596069cab5,delete from clean,"{'bi:n_b2e517bb-acfb-4a33-9270f9596069cab6': ('bi:n', 1.0), 'bi:n_e6e5bae8-d2ad-412e-b701c994681eb9d6': ('bi:n', 1.0)}"
manäh_c495f6aa-c045-4ac5-93b7-4893ac314a2a,delete from clean,{}
kapỹỹj_c53cf0e0-0078-4164-9467-2f4e98268e6d,delete from clean,"{'kapɨ̃:j_c53cf0e0-0078-4164-94672f4e98268e6e': ('kapɨ̃:j', 1.0)}"
