entry_id,status,matches
noo hẽnh_02548d67-7403-4ae6-be8f-4064def13b13,delete from clean,"{'nʹoo hẽnh_02548d67-7403-4ae6-be8f-4064def13b13': ('nʹoo hẽnh', 0.9705882352941176)}"
ta h&apos;ëëb tym_084047b3-92cc-4c52-9e72-35d8fc26b60c,delete new?,"{'h’ëëb tym_e85dddba-34fd-4ea5-af27-e708019a241b': ('h’ëëb tym', 0.8571428571428571)}"
pan&apos;aa_09920e5c-4e7b-42e1-b949-ea77191bd8df,cartilha data; ignore,"{'panaar_5df6f1bc-f203-4ab8-a0c6-d9a93b1400f2': ('panaar', 0.875), 'pana̰:_167b4818-2852-44f2-aef766c8c4ba3c2e': ('pana̰:', 1.0)}"
gawëëj1_1029c2ef-cd3b-4bc9-8838-8dc00dd5d4a2,cartilha data; ignore,"{'gawëëj_1029c2ef-cd3b-4bc9-8838-8dc00dd5d4a2': ('gawëëj', 1.0), 'awëëj_8ff17ad3-9807-456b-bb12-d3247732d93d': ('awëëj', 0.9090909090909091)}"
jawäk_11b99d8c-9b68-4e6b-869d-e3530425e72b,delete from clean,"{'jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b': ('jawëk', 0.9)}"
ah&apos;ỹỹh_135b490e-7cf7-4eff-8dca-45dfe71ddf22,delete new,"{'ahʹỹỹ_014da936-e5cd-4990-ada4-17cbaa8a737a': ('ahʹỹỹ', 0.9615384615384616), 'ahʹỹỹh_135b490e-7cf7-4eff-8dca-45dfe71ddf22': ('ahʹỹỹh', 1.0), 'ahyy2_1fa33a5c-430d-45ea-8091-b77ec8ca00d2': ('ahyy', 0.8636363636363636), 'ahyh_2ff28388-2e02-4fbd-b9cd-d074c4addb71': ('ahyh', 0.8636363636363636), 'ahyy1_61e60646-ec61-45fe-ad25-484258f826ec': ('ahyy', 0.8636363636363636), 'ahyyh1_7491ca4e-d841-47c4-9f9e-cfc66b856aa8': ('ahyyh', 0.9166666666666666), 'ahyyh2_a4db2ba4-29b1-42d6-ba71-d03347f7bf88': ('ahyyh', 0.9166666666666666), 'aỹỹh_c99a1e11-f4d3-4fbd-b8e4-ef98dc3ac38b': ('aỹỹh', 0.9166666666666666), 'aɨ̃:_19e218c6-b4ae-40c8-b4d6d7227c76b973': ('aɨ̃:', 0.8636363636363636), 'ahɨ̰̃:t_bc76a4f6-6266-4537-88b92837a102a9e2': ('ahɨ̰̃:t', 0.8928571428571429), 'hahɨ̃:h_c9b7d1df-1bb9-48d2-a71caf0fdd38ed71': ('hahɨ̃:h', 0.8928571428571429), 'hɨ̃:h_e2aac6ce-87d1-4108-851938b7d7501b1b': ('hɨ̃:h', 0.875), 'ahɨ̃:h_f733ec49-2377-44b4-8f60a93e6a22ff4f': ('ahɨ̃:h', 0.9615384615384616)}"
ër_139ca9bb-450f-4124-8497-3fa5f304fa62,delete from clean,"{'ëër_139ca9bb-450f-4124-8497-3fa5f304fa62': ('ëër', 0.9)}"
h&apos;ëëb_13ea1f78-fc9e-4be4-b1b9-81ad0d92566c,delete new,"{'h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49': ('h’ëëb', 1.0)}"
panʹaa_167b4818-2852-44f2-aef7-66c8c4ba3c2d,delete from clean,"{'panaar_5df6f1bc-f203-4ab8-a0c6-d9a93b1400f2': ('panaar', 0.875), 'pana̰:_167b4818-2852-44f2-aef766c8c4ba3c2e': ('pana̰:', 1.0)}"
tpéh_185742c8-a9c5-4745-b66a-a8f4f48aaf5c,delete new,"{'pɛh_ee911202-c9b9-436e-8f4e23aff9b0cbb7': ('pɛh', 0.8571428571428571)}"
