da,par. da- pro_p. (imperativo).,,,,
däng,n op.,,,,
daab,n.,,,,
daab yyp,v.         ni: daab yb.         p: daab 'yyp.,ni: daab yb,p: daab 'yyp,,
daah,n op.,,,,
daaj hẽ,adv op.,,,,
daap,n. esp.,,,,
daap hẽ,adv.,,,,
daar,n. esp. [LE2],,,,
dab,n op.,,,,
dabong,v p obj.,,,,
dab gik,v.,,,,
dab tade,v.,,,,
dadäk,v.         ni: dadäg.         hab: dahed'ëëk.,ni: dadäg,hab: dahed'ëëk,,
dada hẽ,adv.,,,,
dadyyn,n. esp.,,,,
dagäp,v.         ni: dagäb.,ni: dagäb,,,
dagõn,v.         hab: daheg'õõn[LE3].,hab: daheg'õõn[LE3],,,
dag'õõb,n. esp.,,,,
daguk,v.         ni: deguug.,ni: deguug,,,
dahajung,v.         ni: dahajuu/h.,ni: dahajuu/h,,,
dahatés,v.         ni: dahateej.,ni: dahateej,,,
daheeh,conj.,,,,
dahẽẽm,v.         ni: dahẽẽw.,ni: dahẽẽw,,,
dahej'ëëp doo,n.,,,,
dahés,v.         ni: daheej.,ni: daheej,,,
dahëët,adj.,,,,
dahonh,"v.         ni: dah'oonh.	caus: dah'oonh",ni: dah'oonh,caus: dah'oonh,,
dahyy,v.         ni: dah'yy.       ji saroor tëg dahy n'aa n.       baa gadahyy v.        ta baa gadahy n'aa n.,ni: dah'yy,,,
dajang,v. reto.         ni: dajaa/h.         caus: daj'aah.,ni: dajaa/h,caus: daj'aah,,
dajanh,v.         ni: dajaaj.,ni: dajaaj,,,
daj'aah,v.,,,,
daj'aat,v.,,,,
dajah,n op.,,,,
dajëp,v.         ni: dajëb.         p: dejëp.         ext ni: dajëëb.         caus: daj'ëëp.,ni: dajëb,p: dejëp,ext ni: dajëëb,caus: daj'ëëp
dajoom,v.         ni: dajoow.         hab: dahejóm.       ky n'aa gadejoom v.        noo gadejoom v.,ni: dajoow,hab: dahejóm,,
daka,v.         ni: dakaa.,ni: dakaa,,,
dakëë,v.         ni: dakä.,ni: dakä,,,
dakus,v.         ni: dakuts.,ni: dakuts,,,
damaah,n. esp.,,,,
danäh,v_imp.,,,,
dapaa,n.,,,,
dapaa sëën hawyd,n. esp.,,,,
dapak,v.         ni: dapag.,ni: dapag,,,
dapó,v.,,,,
dap'uung,n.,,,,
dapuuh,v.         ni: dap'uung.,ni: dap'uung,,,
darëp,v.         ni: darëb.,ni: darëb,,,
darung,v.         ni: daruu/h.,ni: daruu/h,,,
das,n. esp.,,,,
dasãng,v.        ni: dasãh.       riih dasãng v.,ni: dasãh,,,
dasẽm,v.         ni: dasẽẽw.,ni: dasẽẽw,,,
dasim,v.         ni: dasiiw.,ni: dasiiw,,,
dasõng,v.,,,,
dasoo/h,v.         ni: daso/h.,ni: daso/h,,,
dasõp,v.         ni: dasõb.         hab: dahes'õõp.,ni: dasõb,hab: dahes'õõp,,
dasuk,v.         ni: dasug.       duu dasuk n.        wë duu dasuk hẽnh n.,ni: dasug,,,
dasuun,v.,,,,
dasũũt,v.         ni: das'ũũd        hab: dahesõt.       kadasũũt v.,ni: das'ũũd        hab: dahesõt,,,
dateej,n.,,,,
dateej gawäs,v.,,,,
datés,v.         ni: dateej.,ni: dateej,,,
datu,v.,,,,
datyyw,n.,,,,
datsäng,v.         ni: detsëë/h.        p: detsëh.,ni: detsëë/h,p: detsëh,,
dawanh,v.         ni: dawaj.,ni: dawaj,,,
dawããt,v.        ni: daw'ããd.,ni: daw'ããd,,,
dawëë,adv.,,,,
dawëës,v.         ni: dawäts.         p: dewëës.       kadawëës v.         ni: kadawäts.,ni: dawäts,p: dewëës,ni: kadawäts,
dawëët,v.         ni: dawëd.         p: dewëët.[LE4],ni: dawëd,p: dewëët,,
dawë peej,adv.,,,,
dawug,n. esp.,,,,
dawuh,v.         ni: dawuh.,ni: dawuh,,,
da beg'ëp,adj.,,,,
da hẽ,adv.,,,,
dẽẽm,n. esp.,,,,
denaa hẽ,adv.,,,,
dén,n.,,,,
dëë,n.,,,,
dom,n. esp.,,,,
dõm,n op.,,,,
dom bag'aad,n. esp.,,,,
dõm gaët,v.         ni: dõm gaëd.,ni: dõm gaëd,,,
dõm gajatuk,v.         ni: dõm gajatug.       nu gajatuk v.,ni: dõm gajatug,,,
dõm garaut,v.,,,,
dõm kahëm,v.,,,,
dõm karekẽẽt,v.         ni: dõm karekẽd.,ni: dõm karekẽd,,,
dõm sajang,v.        ni: sajaa/h.,ni: sajaa/h,,,
dõm sareri,v.,,,,
dõm sawum,v.         ni: dõm sawuuw.,ni: dõm sawuuw,,,
dõm was'iip,v.         ni: wasiib.,ni: wasiib,,,
dõm wasóh,v.        p: dõm wesóh.,p: dõm wesóh,,,
dõm woom,v.,,,,
dõn,n. esp.,,,,
d'oo,n. esp.,,,,
d'oob,n. esp.,,,,
dooh,par.,,,,
dooh wät,par.,,,,
dots,n.,,,,
dó,adv.,,,,
dóg,n. esp.,,,,
dus,onom.,,,,
d'uud,n. esp.,,,,
duuh,n op.,,,,
d'uuj,n. esp.,,,,
duus,n. esp.,,,,
duu däk,v.         ni: duu däg.,ni: duu däg,,,
du daa,par.,,,,
du dasuk,n.,,,,
du doo,n.         ni: du do.,ni: du do,,,
du gä,v.,,,,
du gabaho,v.         ni: du gabahoo.,ni: du gabahoo,,,
du gadasõs,v.,,,,
du gahõõh,v.         ni: du gahõh.,ni: du gahõh,,,
du gajame,v.         ni: du gajamee.,ni: du gajamee,,,
du gamatsiih,v.         ni: du gamats'iing.,ni: du gamats'iing,,,
du ganat'õõh,n.,,,,
du gasarénh,v.         ni: du gasareej.,ni: du gasareej,,,
du gasarë,v.         ni: du gasarëë.,ni: du gasarëë,,,
du gasata,v.         ni: du gasataa.,ni: du gasataa,,,
du gasesooh,v.         ni: du gases'oong.         est hab: du gasesóh.,ni: du gases'oong,est hab: du gasesóh,,
du gatsë,n.,,,,
du gesóm,onom.,,,,
du häng,v.         ni: du hëë.,ni: du hëë,,,
du hyy häng,v.,,,,
du hyy sooh,v.,,,,
du jadut,v.         ni: du jadud.,ni: du jadud,,,
du jareet,v.         ni: du jar'eed hõm.,ni: du jar'eed hõm,,,
du kadahäng,adv.         ni: du kadahëë.,ni: du kadahëë,,,
du mat'ëëh,n.,,,,
du na,v.,,,,
du n'aa,v.        ni: du naa.,ni: du naa,,,
du parapet,v.         ni: du parapeed.,ni: du parapeed,,,
du raré,n.,,,,
du raré tamaah,n. esp.,,,,
du sadó,v.         ni: du sadoo.,ni: du sadoo,,,
du sooh,v.         ni: du soh.,ni: du soh,,,
du s'uu,n.,,,,
du to,v.,,,,
du tsabäm,v.,,,,
dỹng,onom.,,,,
dyk,onom.,,,,
dyy,n. esp.,,,,
dyyg,n.,,,,
d'yyj sasõs,n.E,,,,
ẽnh inten,s.,,,,
eaanh,v.         ni: eaaj.       kame'aanh v.,ni: eaaj,,,
eaak,v.         ni: eag.         p: e'aak.,ni: eag,p: e'aak,,
ebanh,v.        kajebaanh v.         ni: kajebaaj.,ni: kajebaaj,,,
ebä,v.         ni: ebä.,ni: ebä,,,
eb'aanh,v.         ni: ebaj.,ni: ebaj,,,
ebaan,v.,,,,
ebäh,v.         ni: ebäng.       ty ebäh v.,ni: ebäng,,,
ebaj sëëk,v_p.,,,,
ebëng,v.         ni: ebëë/h.       bii gebëng v.,ni: ebëë/h,,,
ebiin,v.        kebiin v.        ji kebiin doo tób n'aa n.,,,,
ebooh,v.         ni: eboh.         p: eb'ooh.,ni: eboh,p: eb'ooh,,
rakaneb'ooh hẽnh,adv.,,,,
edang,v.         ni: edaa/h.,ni: edaa/h,,,
edaas,v.,,,,
edah,v.         ni: edaa/h.       h'yyb edah v.        tabedah v.,ni: edaa/h,,,
edas,v.         ni: edats.,ni: edats,,,
edé,v.,,,,
edén,v.,,,,
edëng,v.         ni: edëë/h.,ni: edëë/h,,,
ed'ëëk,v.         ni: edëëg.       ged'ëëk v.         hab: gahedäk.       ky hed'ëëk v.,ni: edëëg,hab: gahedäk,,
edëp,v.         ni: edëb.         caus: ed'ëëp.        aquele que dá vida: dëëb.       wog gedëp v.,ni: edëb,caus: ed'ëëp,aquele que dá vida: dëëb,
ed'oo,v.,,,,
edoon,v.         hab: edón.,hab: edón,,,
ed'uuk,v.         ni: eduug.         est;hab: heduk.,ni: eduug,est;hab: heduk,,
ee,n.,,,,
eep,n. esp.,,,,
eëë,v.         ni: eë.       nu eëë v.        noo geëë v.        noo keë hõm v.,ni: eë,,,
eëënh,v.         ni: eëëj.       geëënh v.,ni: eëëj,,,
eëëk,v.         ni: eëg.         p: e'ëëk.       haëëk v.,ni: eëg,p: e'ëëk,,
egãã/h,v.,,,,
eg'aak,v.         ni: egaag.,ni: egaag,,,
eg'ããs,v.         ni: egãã.       megãs v.,ni: egãã,,,
egän,v.         est;caus: eg'ëën.,est;caus: eg'ëën,,,
egëëh,v.         ni: eg'ëëh.,ni: eg'ëëh,,,
egëës,v.         ni: egäs.,ni: egäs,,,
egës,v.         ni: egëëj.       k'yy gegës v.        kegës v.        tëg kegës v.,ni: egëëj,,,
egõõh,v.         ni: eg'õõh.,ni: eg'õõh,,,
eg'ook,v.         ni: egoog.         est;hab: egok.,ni: egoog,est;hab: egok,,
ehã,onom.,,,,
ehä̃nh,v.,,,,
ehaa,v.         ni: eh'aa.,ni: eh'aa,,,
ehããnh,v.         ni: ehããj.,ni: ehããj,,,
ehään,v.,,,,
ehaas,v.         ni: ehats.       hehaas v.,ni: ehats,,,
ehãm,v.         ni: ehãw.         caus: eh'ããm.,ni: ehãw,caus: eh'ããm,,
ehap,v.         ni: ehab.,ni: ehab,,,
ehä̃p,v.         ni: ehä̃b.         est;hab: eh'ỹỹp.eheet v        ni: eh'eed.         est;hab: ehét.,ni: ehä̃b,est;hab: eh'ỹỹp,eheet v        ni: eh'eed,est;hab: ehét
ehëë,v.         ni: eh'ëë.,ni: eh'ëë,,,
ehëën,v.,,,,
ehëëp,v.         ni: eh'ëëb.,ni: eh'ëëb,,,
ehĩĩm,v.         ni: eh'ĩĩw.       h'ĩĩw onom.,ni: eh'ĩĩw,,,
ehiin,n.,,,,
ehõ,v_p.         ni: ehũũ.       ma ehõ v.,ni: ehũũ,,,
ehoh,v.         ni: ehoh.,ni: ehoh,,,
ehõh,v_p.         sing: ahõng.,sing: ahõng,,,
ehõk,v.         ni: ehõg.         est;hab: eh'õõk.,ni: ehõg,est;hab: eh'õõk,,
ehom,v.         ni: ehoow.       ty gehom v.        ty gehoow n'aa n.,ni: ehoow,,,
ehõõh,v.         ni: ehõ/h.,ni: ehõ/h,,,
ch'ook,v.         ni: ehoog.         est;hab: ehok.,ni: ehoog,est;hab: ehok,,
ehop,v.         ni: ehob.,ni: ehob,,,
ehót,v.         ni: ehód.       h'yyb ehót v.,ni: ehód,,,
ehu,v.,,,,
ehub,v.,,,,
ehus,v.        ni: ehuts.,ni: ehuts,,,
ehũũm,v.,,,,
ehỹỹp,v.,,,,
eh'yyt,v.         ni: ehyyd.,ni: ehyyd,,,
eh'ỹỹt,v.         ni: ehỹỹd.,ni: ehỹỹd,,,
ejä,v.        ni: eJëë.       najä n op.,ni: eJëë,,,
